,Measurement Basis,TT,TR,RT,RR
0,H,31598,32335,32682,32565
1,D,39858,25124,52986,12144
2,R,1115,62148,7992,56937
3,V,34519,30502,34632,30644
4,A,26772,37345,12109,52962
5,L,65090,1163,56839,7727
