Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,33996,28145,29458,26204,63454,54349
1,D,62072,1093,55277,1305,117349,2398
2,R,25583,35920,35549,19992,61132,55912
3,V,28890,32353,30181,25485,59071,57838
4,A,1100,59101,1380,53183,2480,112284
5,L,37415,24658,20876,34787,58291,59445
