,Measurement Basis,TT,TR,RT,RR
0,H,33996,28145,29458,26204
1,D,62072,1093,55277,1305
2,R,25583,35920,35549,19992
3,V,28890,32353,30181,25485
4,A,1100,59101,1380,53183
5,L,37415,24658,20876,34787
