,Measurement Basis,TT,TR,RT,RR
0,H,310,76107,587,62499
1,D,33141,36876,46110,30497
2,R,33824,37442,48618,29503
3,V,65302,424,87640,1134
4,A,31892,38400,43502,32362
5,L,32631,39610,44292,33180
