,Measurement Basis,TT,TR,RT,RR
0,H,73975,74333,97154,62002
1,D,144864,538,164218,8574
2,R,71273,77230,129063,39152
3,V,72804,75482,92678,65581
4,A,309,149179,13502,128328
5,L,74400,74008,50197,99579
