,Measurement Basis,TT,TR,RT,RR
0,H,374,57260,414,55092
1,D,30211,29038,30492,26477
2,R,30112,29080,31138,25956
3,V,60145,556,57379,346
4,A,29768,28541,28506,27890
5,L,30018,28750,29289,27511
