Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,374,57260,414,55092,788,112352
1,D,30211,29038,30492,26477,60703,55515
2,R,30112,29080,31138,25956,61250,55036
3,V,60145,556,57379,346,117524,902
4,A,29768,28541,28506,27890,58274,56431
5,L,30018,28750,29289,27511,59307,56261
