,position,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,TT,RT,TR,RR,read_time
0,6.27,0,288,0,109689,0,0,0,0,0,320,0,117069,0,0,0,0,24539,25,22,0,1
1,6.67,0,261,0,109686,0,0,0,0,0,339,0,117916,0,0,0,0,24826,29,18,0,1
2,7.07,0,304,0,109612,0,0,0,0,0,313,0,117443,0,0,0,0,24652,16,21,0,1
3,7.47,0,289,0,110173,0,0,0,0,0,286,0,117275,0,0,0,0,24754,22,11,0,1
4,7.87,0,299,0,109421,0,0,0,0,0,332,0,117608,0,0,0,0,24598,20,25,0,1
5,8.27,0,275,0,109421,0,0,0,0,0,327,0,117107,0,0,0,0,24473,20,29,0,1
6,8.67,0,305,0,109843,0,0,0,0,0,315,0,117335,0,0,0,0,24593,15,28,0,1
7,9.07,0,305,0,110338,0,0,0,0,0,315,0,118410,0,0,0,0,24975,25,23,0,1
8,9.47,0,290,0,109877,0,0,0,0,0,298,0,117654,0,0,0,0,23556,16,23,0,1
9,9.87,0,255,0,103915,0,0,0,0,0,334,0,110749,0,0,0,0,13203,11,13,0,1
10,9.97,0,306,0,103313,0,0,0,0,0,290,0,108612,0,0,0,0,9224,6,18,0,1
11,10.07,0,305,0,100439,0,0,0,0,0,279,0,106621,0,0,0,0,5108,10,12,0,1
12,10.17,0,255,0,98813,0,0,0,0,0,292,0,105052,0,0,0,0,2112,5,2,0,1
13,10.27,0,291,0,98409,0,0,0,0,0,279,0,104312,0,0,0,0,800,6,5,0,1
14,10.37,0,294,0,98323,0,0,0,0,0,281,0,104660,0,0,0,0,1299,2,6,0,1
15,10.47,0,279,0,99492,0,0,0,0,0,310,0,105095,0,0,0,0,3562,9,10,0,1
16,10.57,0,273,0,101587,0,0,0,0,0,281,0,107650,0,0,0,0,7064,6,13,0,1
17,10.67,0,276,0,103444,0,0,0,0,0,285,0,109358,0,0,0,0,10946,9,18,0,1
18,10.77,0,279,0,105105,0,0,0,0,0,275,0,111484,0,0,0,0,15175,12,11,0,1
19,11.07,0,274,0,108772,0,0,0,0,0,303,0,115618,0,0,0,0,22358,15,16,0,1
20,11.47,0,312,0,108514,0,0,0,0,0,293,0,115859,0,0,0,0,23787,14,12,0,1
21,11.87,0,285,0,108276,0,0,0,0,0,282,0,116027,0,0,0,0,23973,15,27,0,1
22,12.27,0,270,0,108274,0,0,0,0,0,314,0,117128,0,0,0,0,24238,9,21,0,1
23,12.67,0,288,0,109236,0,0,0,0,0,314,0,116054,0,0,0,0,24294,18,28,0,1
24,13.07,0,274,0,108840,0,0,0,0,0,287,0,116515,0,0,0,0,24186,19,23,0,1
25,13.47,0,305,0,108922,0,0,0,0,0,308,0,116882,0,0,0,0,24414,19,24,0,1
26,13.87,0,288,0,108809,0,0,0,0,0,291,0,116503,0,0,0,0,24218,19,21,0,1
27,14.27,0,280,0,108939,0,0,0,0,0,292,0,116783,0,0,0,0,24396,14,23,0,1
