data_dir,C,DB_H,DB_V,SB,N
2025-05-27--13h-57m-47s,8.0,0.0,178.0,14.0,200.0
2025-05-27--13h-57m-47s,3.0,0.0,184.0,13.0,200.0
2025-05-27--13h-57m-47s,4.5,0.0,183.0,12.5,200.0
2025-05-27--13h-57m-47s,5.0,0.0,181.0,14.0,200.0
2025-05-27--13h-57m-47s,3.75,1.0,178.0,17.25,200.0
2025-05-27--13h-57m-47s,3.5,1.0,181.0,14.5,200.0
2025-05-27--13h-57m-47s,4.5,0.0,181.0,14.5,200.0
2025-05-27--13h-57m-47s,3.0,0.0,182.0,15.0,200.0
2025-05-27--13h-57m-47s,2.25,0.0,182.0,15.75,200.0
2025-05-27--13h-57m-47s,3.25,0.0,185.0,11.75,200.0
2025-05-27--13h-57m-47s,4.25,1.0,178.0,16.75,200.0
2025-05-27--13h-57m-47s,4.25,0.0,179.0,16.75,200.0
