data_dir,repetition,C,DB_H,DB_V,SB,N
2025-05-30--14h-03m-06s,0,0.0,4.0,0.0,0.0,4.0
2025-05-30--14h-03m-06s,1,0.0,1.0,0.0,0.0,1.0
2025-05-30--14h-03m-06s,3,0.0,5.0,0.0,0.0,5.0
2025-05-30--14h-03m-06s,4,0.0,1.0,0.0,0.0,1.0
2025-05-30--14h-03m-06s,5,0.0,2.0,0.0,0.0,2.0
2025-05-30--14h-03m-06s,6,0.0,1.0,0.0,0.0,1.0
2025-05-30--14h-03m-06s,7,0.0,1.0,0.0,0.0,1.0
2025-05-30--14h-03m-06s,8,0.0,3.0,0.0,0.0,3.0
2025-05-30--14h-03m-06s,9,0.0,1.0,0.0,0.0,1.0
2025-05-30--14h-03m-06s,10,0.0,1.0,0.0,0.5,1.5
2025-05-30--14h-03m-06s,12,0.0,1.0,0.0,0.0,1.0
2025-05-30--14h-03m-06s,13,0.0,3.0,0.0,0.0,3.0
2025-05-30--14h-03m-06s,14,0.0,3.0,0.0,0.0,3.0
2025-05-30--14h-03m-06s,15,0.5,1.0,0.0,0.0,1.5
2025-05-30--14h-03m-06s,16,0.0,1.0,0.0,0.0,1.0
2025-05-30--14h-03m-06s,18,0.0,0.0,0.0,0.5,0.5
2025-05-30--14h-03m-06s,19,0.5,1.0,0.0,0.0,1.5
2025-05-30--14h-03m-06s,20,0.0,2.0,0.0,0.0,2.0
2025-05-30--14h-03m-06s,21,0.0,2.0,0.0,0.0,2.0
2025-05-30--14h-03m-06s,22,0.0,5.0,0.0,0.0,5.0
2025-05-30--14h-03m-06s,23,0.0,4.0,0.0,0.0,4.0
2025-05-30--14h-03m-06s,24,0.0,4.0,0.0,0.0,4.0
2025-05-30--14h-03m-06s,25,0.0,2.0,0.0,0.0,2.0
2025-05-30--14h-03m-06s,26,0.0,2.0,0.0,0.0,2.0
2025-05-30--14h-03m-06s,27,0.0,3.0,0.0,0.0,3.0
2025-05-30--14h-03m-06s,28,0.0,1.0,0.0,0.0,1.0
2025-05-30--14h-03m-06s,29,0.0,4.0,0.0,0.0,4.0
2025-05-30--14h-03m-06s,30,0.0,1.0,0.0,0.0,1.0
2025-05-30--14h-03m-06s,31,0.5,3.0,0.0,0.0,3.5
2025-05-30--14h-03m-06s,32,0.0,4.0,0.0,0.0,4.0
2025-05-30--14h-03m-06s,33,0.0,4.0,0.0,0.5,4.5
2025-05-30--14h-03m-06s,34,0.0,5.0,0.0,0.0,5.0
2025-05-30--14h-03m-06s,35,0.5,2.0,0.0,0.0,2.5
2025-05-30--14h-03m-06s,36,0.0,2.0,0.0,0.0,2.0
2025-05-30--14h-03m-06s,37,0.0,2.0,0.0,0.0,2.0
2025-05-30--14h-03m-06s,38,0.0,2.0,0.0,0.5,2.5
2025-05-30--14h-03m-06s,39,0.0,1.0,0.0,0.0,1.0
2025-05-30--14h-03m-06s,41,0.0,2.0,0.0,0.0,2.0
2025-05-30--14h-03m-06s,42,0.0,4.0,0.0,0.0,4.0
2025-05-30--14h-03m-06s,43,0.0,3.0,0.0,0.0,3.0
2025-05-30--14h-03m-06s,44,0.0,3.0,0.0,0.5,3.5
2025-05-30--14h-03m-06s,45,0.0,3.0,0.0,0.0,3.0
2025-05-30--14h-03m-06s,46,0.0,3.0,0.0,0.0,3.0
2025-05-30--14h-03m-06s,48,0.0,1.0,0.0,0.0,1.0
2025-05-30--14h-03m-06s,50,0.0,4.0,0.0,0.0,4.0
2025-05-30--14h-03m-06s,51,0.0,2.0,0.0,0.0,2.0
2025-05-30--14h-03m-06s,52,0.0,1.0,0.0,0.0,1.0
2025-05-30--14h-03m-06s,53,0.0,4.0,0.0,0.0,4.0
2025-05-30--14h-03m-06s,55,0.0,1.0,0.0,0.0,1.0
2025-05-30--14h-03m-06s,56,0.5,1.0,0.0,0.0,1.5
2025-05-30--14h-03m-06s,57,0.0,4.0,0.0,0.0,4.0
2025-05-30--14h-03m-06s,58,0.0,2.0,0.0,0.0,2.0
2025-05-30--14h-03m-06s,59,0.0,3.0,0.0,0.0,3.0
2025-05-30--14h-03m-06s,60,0.5,3.0,0.0,0.0,3.5
2025-05-30--14h-03m-06s,61,0.0,4.0,0.0,0.0,4.0
2025-05-30--14h-03m-06s,63,0.5,1.0,0.0,0.5,2.0
2025-05-30--14h-03m-06s,64,0.0,2.0,0.0,0.0,2.0
2025-05-30--14h-03m-06s,65,0.0,1.0,0.0,0.0,1.0
2025-05-30--14h-03m-06s,67,0.0,2.0,0.0,0.0,2.0
2025-05-30--14h-03m-06s,68,0.0,4.0,0.0,0.0,4.0
2025-05-30--14h-03m-06s,69,0.0,3.0,0.0,0.0,3.0
2025-05-30--14h-03m-06s,70,0.0,2.0,0.0,0.0,2.0
2025-05-30--14h-03m-06s,71,0.5,2.0,0.0,0.0,2.5
2025-05-30--14h-03m-06s,72,0.0,1.0,0.0,0.0,1.0
2025-05-30--14h-03m-06s,73,0.0,2.0,0.0,0.0,2.0
2025-05-30--14h-03m-06s,74,0.0,2.0,0.0,0.5,2.5
2025-05-30--14h-03m-06s,75,0.0,4.0,0.0,0.5,4.5
2025-05-30--14h-03m-06s,76,0.0,2.0,0.0,0.0,2.0
2025-05-30--14h-03m-06s,77,0.0,5.0,0.0,0.0,5.0
2025-05-30--14h-03m-06s,78,0.0,3.0,0.0,0.0,3.0
2025-05-30--14h-03m-06s,79,0.0,1.0,0.0,0.0,1.0
2025-05-30--14h-03m-06s,80,0.0,1.0,0.0,0.0,1.0
2025-05-30--14h-03m-06s,81,0.0,1.0,0.0,0.0,1.0
2025-05-30--14h-03m-06s,82,0.0,3.0,0.0,0.0,3.0
2025-05-30--14h-03m-06s,83,0.0,5.0,0.0,0.0,5.0
2025-05-30--14h-03m-06s,84,0.0,6.0,0.0,0.0,6.0
2025-05-30--14h-03m-06s,85,0.0,4.0,0.0,0.0,4.0
2025-05-30--14h-03m-06s,86,0.0,4.0,0.0,0.0,4.0
2025-05-30--14h-03m-06s,87,0.0,3.0,0.0,0.0,3.0
2025-05-30--14h-03m-06s,88,0.0,6.0,0.0,0.0,6.0
2025-05-30--14h-03m-06s,89,0.0,2.0,0.0,0.0,2.0
2025-05-30--14h-03m-06s,90,0.0,3.0,0.0,0.0,3.0
2025-05-30--14h-03m-06s,91,0.5,4.0,0.0,0.0,4.5
2025-05-30--14h-03m-06s,92,0.0,4.0,0.0,0.0,4.0
2025-05-30--14h-03m-06s,94,0.0,2.0,0.0,0.0,2.0
2025-05-30--14h-03m-06s,96,0.0,2.0,0.0,0.0,2.0
2025-05-30--14h-03m-06s,97,0.0,2.0,0.0,0.0,2.0
2025-05-30--14h-03m-06s,98,0.0,3.0,0.0,1.0,4.0
2025-05-30--14h-03m-06s,99,0.0,6.0,0.0,0.0,6.0
2025-05-30--14h-03m-06s,100,0.0,2.0,0.0,0.0,2.0
2025-05-30--14h-03m-06s,101,0.0,1.0,0.0,0.0,1.0
2025-05-30--14h-03m-06s,102,0.0,2.0,0.0,0.0,2.0
2025-05-30--14h-03m-06s,104,0.5,3.0,0.0,0.0,3.5
2025-05-30--14h-03m-06s,105,0.5,3.0,0.0,0.0,3.5
2025-05-30--14h-03m-06s,106,0.0,3.0,0.0,0.5,3.5
2025-05-30--14h-03m-06s,107,0.0,1.0,0.0,0.0,1.0
2025-05-30--14h-03m-06s,108,0.0,2.0,0.0,0.0,2.0
2025-05-30--14h-03m-06s,109,0.0,1.0,0.0,0.0,1.0
2025-05-30--14h-03m-06s,110,0.0,3.0,0.0,0.0,3.0
2025-05-30--14h-03m-06s,111,0.0,2.0,0.0,0.0,2.0
2025-05-30--14h-03m-06s,112,0.0,1.0,0.0,0.0,1.0
2025-05-30--14h-03m-06s,113,0.0,4.0,0.0,0.0,4.0
2025-05-30--14h-03m-06s,114,0.0,5.0,0.0,0.5,5.5
2025-05-30--14h-03m-06s,115,0.0,3.0,0.0,0.0,3.0
