data_dir,C,DB_H,DB_V,SB,N
2025-06-02--17h-38m-12s,3.5,193.0,0.0,3.5,200.0
2025-06-02--17h-38m-12s,3.0,197.0,0.0,1.0,201.0
2025-06-02--17h-38m-12s,2.0,196.0,0.0,1.0,199.0
2025-06-02--17h-38m-12s,2.5,195.0,0.0,4.0,201.5
2025-06-02--17h-38m-12s,7.0,194.0,0.0,1.0,202.0
2025-06-02--17h-38m-12s,3.0,195.0,0.0,2.5,200.5
2025-06-02--17h-38m-12s,4.0,191.0,0.0,4.5,199.5
2025-06-02--17h-38m-12s,5.0,193.0,0.0,1.0,199.0
2025-06-02--17h-38m-12s,2.0,196.0,0.0,1.5,199.5
2025-06-02--17h-38m-12s,5.0,193.0,0.0,1.0,199.0
2025-06-02--17h-38m-12s,4.5,195.0,0.0,1.0,200.5
2025-06-02--17h-38m-12s,4.5,194.0,0.0,2.0,200.5
2025-06-02--17h-38m-12s,4.5,194.0,0.0,1.5,200.0
2025-06-02--17h-38m-12s,3.0,195.0,0.0,1.5,199.5
2025-06-02--17h-38m-12s,3.5,195.0,0.0,2.0,200.5
2025-06-02--17h-38m-12s,3.0,193.0,0.0,2.5,198.5
2025-06-02--17h-38m-12s,2.0,196.0,0.0,2.5,200.5
2025-06-02--17h-38m-12s,3.0,196.0,0.0,2.0,201.0
2025-06-02--17h-38m-12s,4.5,194.0,0.0,1.5,200.0
2025-06-02--17h-38m-12s,4.0,194.0,0.0,2.0,200.0
2025-06-02--17h-38m-12s,2.5,195.0,0.0,1.5,199.0
2025-06-02--17h-38m-12s,2.5,194.0,0.0,3.0,199.5
2025-06-02--17h-38m-12s,4.5,192.0,0.0,2.5,199.0
2025-06-02--17h-38m-12s,1.5,196.0,0.0,3.0,200.5
2025-06-02--17h-38m-12s,1.0,199.0,0.0,0.5,200.5
2025-06-02--17h-38m-12s,4.0,196.0,0.0,2.0,202.0
2025-06-02--17h-38m-12s,5.5,193.0,0.0,2.0,200.5
2025-06-02--17h-38m-12s,7.0,191.0,0.0,2.5,200.5
2025-06-02--17h-38m-12s,0.0,198.0,0.0,1.0,199.0
2025-06-02--17h-38m-12s,3.5,191.0,0.0,4.5,199.0
2025-06-02--17h-38m-12s,3.5,196.0,0.0,1.5,201.0
2025-06-02--17h-38m-12s,4.5,195.0,0.0,0.0,199.5
2025-06-02--17h-38m-12s,2.0,195.0,0.0,2.5,199.5
2025-06-02--17h-38m-12s,2.5,195.0,0.0,2.5,200.0
2025-06-02--17h-38m-12s,4.5,191.0,0.0,4.0,199.5
2025-06-02--17h-38m-12s,5.0,194.0,0.0,0.0,199.0
2025-06-02--17h-38m-12s,5.5,193.0,0.0,1.5,200.0
2025-06-02--17h-38m-12s,3.0,193.0,0.0,3.5,199.5
2025-06-02--17h-38m-12s,3.5,195.0,0.0,2.0,200.5
2025-06-02--17h-38m-12s,1.5,196.0,1.0,1.5,200.0
2025-06-02--17h-38m-12s,3.0,195.0,0.0,2.5,200.5
2025-06-02--17h-38m-12s,4.5,196.0,0.0,0.5,201.0
2025-06-02--17h-38m-12s,4.5,193.0,0.0,2.0,199.5
2025-06-02--17h-38m-12s,3.5,196.0,0.0,1.5,201.0
2025-06-02--17h-38m-12s,2.5,196.0,0.0,2.0,200.5
2025-06-02--17h-38m-12s,4.0,194.0,0.0,2.5,200.5
2025-06-02--17h-38m-12s,2.0,198.0,0.0,1.0,201.0
2025-06-02--17h-38m-12s,2.0,194.0,0.0,3.0,199.0
2025-06-02--17h-38m-12s,3.5,196.0,0.0,0.5,200.0
2025-06-02--17h-38m-12s,3.5,195.0,0.0,2.0,200.5
2025-06-02--17h-38m-12s,6.0,189.0,0.0,3.5,198.5
2025-06-02--17h-38m-12s,3.0,195.0,0.0,2.5,200.5
2025-06-02--17h-38m-12s,7.0,192.0,0.0,1.0,200.0
2025-06-02--17h-38m-12s,2.5,195.0,0.0,1.5,199.0
2025-06-02--17h-38m-12s,4.0,195.0,0.0,2.0,201.0
2025-06-02--17h-38m-12s,3.5,194.0,0.0,2.0,199.5
2025-06-02--17h-38m-12s,1.5,195.0,0.0,2.5,199.0
2025-06-02--17h-38m-12s,5.0,194.0,0.0,1.5,200.5
2025-06-02--17h-38m-12s,2.5,197.0,0.0,0.0,199.5
2025-06-02--17h-38m-12s,1.5,195.0,0.0,2.0,198.5
2025-06-02--17h-38m-12s,4.0,193.0,0.0,2.5,199.5
2025-06-02--17h-38m-12s,6.0,194.0,0.0,0.0,200.0
2025-06-02--17h-38m-12s,4.5,196.0,0.0,0.0,200.5
2025-06-02--17h-38m-12s,5.0,192.0,0.0,3.0,200.0
2025-06-02--17h-38m-12s,5.0,192.0,0.0,2.5,199.5
2025-06-02--17h-38m-12s,3.5,197.0,0.0,0.5,201.0
2025-06-02--17h-38m-12s,2.5,196.0,0.0,1.5,200.0
2025-06-02--17h-38m-12s,6.0,191.0,0.0,2.5,199.5
2025-06-02--17h-38m-12s,2.5,196.0,0.0,2.0,200.5
2025-06-02--17h-38m-12s,5.0,190.0,0.0,3.5,198.5
2025-06-02--17h-38m-12s,5.5,193.0,0.0,2.0,200.5
2025-06-02--17h-38m-12s,3.5,195.0,0.0,2.0,200.5
2025-06-02--17h-38m-12s,3.0,193.0,0.0,2.5,198.5
2025-06-02--17h-38m-12s,4.5,196.0,0.0,0.5,201.0
2025-06-02--17h-38m-12s,3.5,196.0,0.0,1.5,201.0
2025-06-02--17h-38m-12s,5.5,195.0,0.0,1.0,201.5
2025-06-02--17h-38m-12s,6.0,193.0,0.0,0.5,199.5
2025-06-02--17h-38m-12s,2.0,195.0,0.0,3.0,200.0
2025-06-02--17h-38m-12s,6.0,193.0,0.0,2.0,201.0
2025-06-02--17h-38m-12s,3.0,196.0,0.0,1.0,200.0
2025-06-02--17h-38m-12s,5.0,195.0,0.0,1.0,201.0
2025-06-02--17h-38m-12s,4.0,193.0,0.0,3.5,200.5
2025-06-02--17h-38m-12s,4.0,194.0,0.0,2.0,200.0
2025-06-02--17h-38m-12s,4.0,196.0,0.0,1.0,201.0
2025-06-02--17h-38m-12s,3.5,196.0,0.0,2.0,201.5
2025-06-02--17h-38m-12s,2.5,197.0,0.0,0.5,200.0
2025-06-02--17h-38m-12s,5.5,193.0,0.0,1.5,200.0
2025-06-02--17h-38m-12s,1.5,197.0,0.0,1.0,199.5
2025-06-02--17h-38m-12s,3.5,194.0,0.0,1.0,198.5
