Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,85037,905,84566,1412,169603,2317
1,D,42308,44931,39771,34605,82079,79536
2,R,42674,43803,39158,35244,81832,79047
3,V,562,87193,972,62694,1534,149887
4,A,42883,43695,42682,32831,85565,76526
5,L,42749,44613,41426,33418,84175,78031
