,Measurement Basis,TT,TR,RT,RR
0,H,85037,905,84566,1412
1,D,42308,44931,39771,34605
2,R,42674,43803,39158,35244
3,V,562,87193,972,62694
4,A,42883,43695,42682,32831
5,L,42749,44613,41426,33418
