Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,66965,36290,95753,29911,162718,66201
1,D,88288,12245,126175,6658,214463,18903
2,R,26180,86681,63578,57287,89758,143968
3,V,31235,80074,44598,70064,75833,150138
4,A,9948,104318,5877,101953,15825,206271
5,L,71780,31635,67778,52409,139558,84044
