data_dir,C,DB_H,DB_V,SB,N
2025-05-28--22h-55m-08s,3.5,40.0,70.0,86.5,200.0
2025-05-28--22h-55m-08s,3.5,40.0,68.0,88.5,200.0
2025-05-28--22h-55m-08s,3.0,36.0,65.0,96.0,200.0
2025-05-28--22h-55m-08s,4.0,46.0,75.0,75.0,200.0
2025-05-28--22h-55m-08s,4.5,43.0,65.0,87.5,200.0
2025-05-28--22h-55m-08s,3.0,42.0,65.0,90.0,200.0
2025-05-28--22h-55m-08s,1.5,51.0,60.0,87.5,200.0
2025-05-28--22h-55m-08s,3.0,39.0,78.0,80.0,200.0
2025-05-28--22h-55m-08s,2.5,40.0,61.0,96.5,200.0
2025-05-28--22h-55m-08s,3.0,43.0,58.0,96.0,200.0
2025-05-28--22h-55m-08s,3.0,43.0,63.0,91.0,200.0
2025-05-28--22h-55m-08s,2.0,40.0,71.0,87.0,200.0
2025-05-28--22h-55m-08s,4.0,40.0,68.0,88.0,200.0
2025-05-28--22h-55m-08s,2.5,41.0,67.0,89.5,200.0
2025-05-28--22h-55m-08s,4.0,34.0,71.0,91.0,200.0
2025-05-28--22h-55m-08s,4.0,47.0,70.0,79.0,200.0
2025-05-28--22h-55m-08s,2.5,46.0,69.0,82.5,200.0
