Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,49842,58970,69294,51093,119136,110063
1,D,74282,30899,68318,53444,142600,84343
2,R,92168,7947,132493,1265,224661,9212
3,V,50215,59168,67374,52934,117589,112102
4,A,25178,89449,67227,54934,92405,144383
5,L,6563,110862,542,106379,7105,217241
