,Measurement Basis,TT,TR,RT,RR
0,H,49842,58970,69294,51093
1,D,74282,30899,68318,53444
2,R,92168,7947,132493,1265
3,V,50215,59168,67374,52934
4,A,25178,89449,67227,54934
5,L,6563,110862,542,106379
