data_dir,C,DB_H,DB_V,SB,N
2025-06-03--03h-15m-43s,12.0,116.0,6.0,26.0,160.0
2025-06-03--03h-15m-43s,17.0,115.0,3.0,24.5,159.5
2025-06-03--03h-15m-43s,11.5,118.0,6.0,25.5,161.0
2025-06-03--03h-15m-43s,9.0,123.0,3.0,23.5,158.5
2025-06-03--03h-15m-43s,13.5,117.0,4.0,26.5,161.0
2025-06-03--03h-15m-43s,12.0,112.0,5.0,32.5,161.5
2025-06-03--03h-15m-43s,16.5,117.0,2.0,24.0,159.5
2025-06-03--03h-15m-43s,12.0,121.0,1.0,26.0,160.0
2025-06-03--03h-15m-43s,13.5,118.0,5.0,23.0,159.5
2025-06-03--03h-15m-43s,11.0,130.0,3.0,17.5,161.5
2025-06-03--03h-15m-43s,14.0,119.0,7.0,19.5,159.5
2025-06-03--03h-15m-43s,18.0,119.0,3.0,19.5,159.5
2025-06-03--03h-15m-43s,13.0,120.0,5.0,23.0,161.0
2025-06-03--03h-15m-43s,11.0,120.0,5.0,24.5,160.5
2025-06-03--03h-15m-43s,17.5,112.0,3.0,27.5,160.0
2025-06-03--03h-15m-43s,15.0,125.0,2.0,18.5,160.5
2025-06-03--03h-15m-43s,15.5,115.0,3.0,26.5,160.0
2025-06-03--03h-15m-43s,13.0,118.0,4.0,26.0,161.0
2025-06-03--03h-15m-43s,17.5,115.0,4.0,23.0,159.5
2025-06-03--03h-15m-43s,12.5,122.0,2.0,23.5,160.0
2025-06-03--03h-15m-43s,15.0,115.0,5.0,25.5,160.5
2025-06-03--03h-15m-43s,15.5,118.0,3.0,24.0,160.5
2025-06-03--03h-15m-43s,14.5,115.0,1.0,30.0,160.5
2025-06-03--03h-15m-43s,13.0,115.0,5.0,27.0,160.0
2025-06-03--03h-15m-43s,13.0,119.0,3.0,24.0,159.0
2025-06-03--03h-15m-43s,15.0,113.0,3.0,28.5,159.5
2025-06-03--03h-15m-43s,13.5,115.0,2.0,30.5,161.0
2025-06-03--03h-15m-43s,9.0,120.0,7.0,24.5,160.5
2025-06-03--03h-15m-43s,17.5,118.0,2.0,23.0,160.5
2025-06-03--03h-15m-43s,13.0,122.0,1.0,24.5,160.5
2025-06-03--03h-15m-43s,13.0,117.0,3.0,26.5,159.5
2025-06-03--03h-15m-43s,12.0,119.0,4.0,24.0,159.0
2025-06-03--03h-15m-43s,14.5,117.0,2.0,26.5,160.0
2025-06-03--03h-15m-43s,17.0,117.0,2.0,24.0,160.0
2025-06-03--03h-15m-43s,19.0,113.0,1.0,26.0,159.0
2025-06-03--03h-15m-43s,9.5,115.0,10.0,26.0,160.5
2025-06-03--03h-15m-43s,13.5,119.0,1.0,26.5,160.0
2025-06-03--03h-15m-43s,23.0,111.0,3.0,22.5,159.5
2025-06-03--03h-15m-43s,13.5,116.0,3.0,27.0,159.5
2025-06-03--03h-15m-43s,19.5,110.0,7.0,22.5,159.0
2025-06-03--03h-15m-43s,12.5,125.0,1.0,21.5,160.0
2025-06-03--03h-15m-43s,14.5,114.0,5.0,28.5,162.0
2025-06-03--03h-15m-43s,11.5,118.0,2.0,28.0,159.5
2025-06-03--03h-15m-43s,13.0,123.0,2.0,23.0,161.0
2025-06-03--03h-15m-43s,18.0,123.0,2.0,17.5,160.5
2025-06-03--03h-15m-43s,19.0,112.0,4.0,25.0,160.0
2025-06-03--03h-15m-43s,12.0,109.0,11.0,27.5,159.5
2025-06-03--03h-15m-43s,14.0,113.0,2.0,30.5,159.5
2025-06-03--03h-15m-43s,9.0,124.0,3.0,22.5,158.5
2025-06-03--03h-15m-43s,14.0,123.0,4.0,19.5,160.5
2025-06-03--03h-15m-43s,13.0,116.0,4.0,27.5,160.5
2025-06-03--03h-15m-43s,15.0,122.0,1.0,21.5,159.5
2025-06-03--03h-15m-43s,16.5,115.0,3.0,25.0,159.5
2025-06-03--03h-15m-43s,12.5,117.0,5.0,25.5,160.0
2025-06-03--03h-15m-43s,15.0,111.0,4.0,30.5,160.5
2025-06-03--03h-15m-43s,13.0,117.0,4.0,24.0,158.0
2025-06-03--03h-15m-43s,13.5,116.0,3.0,27.0,159.5
2025-06-03--03h-15m-43s,10.5,123.0,1.0,25.0,159.5
2025-06-03--03h-15m-43s,11.0,125.0,5.0,21.0,162.0
2025-06-03--03h-15m-43s,13.5,126.0,2.0,19.0,160.5
2025-06-03--03h-15m-43s,16.5,115.0,4.0,24.5,160.0
2025-06-03--03h-15m-43s,12.0,119.0,4.0,26.0,161.0
2025-06-03--03h-15m-43s,8.0,127.0,5.0,19.0,159.0
2025-06-03--03h-15m-43s,18.0,115.0,0.0,27.0,160.0
2025-06-03--03h-15m-43s,11.5,125.0,4.0,20.5,161.0
2025-06-03--03h-15m-43s,12.5,119.0,5.0,23.5,160.0
2025-06-03--03h-15m-43s,14.0,113.0,3.0,30.0,160.0
2025-06-03--03h-15m-43s,15.5,112.0,6.0,26.5,160.0
2025-06-03--03h-15m-43s,12.5,123.0,3.0,22.5,161.0
2025-06-03--03h-15m-43s,12.0,125.0,1.0,22.0,160.0
2025-06-03--03h-15m-43s,11.5,118.0,6.0,26.0,161.5
2025-06-03--03h-15m-43s,11.5,130.0,4.0,14.0,159.5
2025-06-03--03h-15m-43s,14.5,122.0,4.0,19.5,160.0
2025-06-03--03h-15m-43s,15.5,116.0,3.0,26.0,160.5
2025-06-03--03h-15m-43s,14.5,126.0,2.0,17.0,159.5
2025-06-03--03h-15m-43s,13.0,118.0,2.0,27.0,160.0
2025-06-03--03h-15m-43s,11.5,115.0,3.0,30.5,160.0
2025-06-03--03h-15m-43s,18.5,120.0,5.0,17.0,160.5
2025-06-03--03h-15m-43s,15.0,116.0,4.0,26.0,161.0
2025-06-03--03h-15m-43s,13.5,116.0,3.0,27.0,159.5
2025-06-03--03h-15m-43s,14.0,116.0,4.0,26.5,160.5
2025-06-03--03h-15m-43s,13.5,121.0,1.0,24.0,159.5
2025-06-03--03h-15m-43s,16.0,120.0,2.0,22.5,160.5
2025-06-03--03h-15m-43s,11.0,121.0,4.0,24.5,160.5
2025-06-03--03h-15m-43s,17.5,122.0,2.0,19.5,161.0
2025-06-03--03h-15m-43s,14.0,111.0,3.0,32.5,160.5
2025-06-03--03h-15m-43s,14.0,114.0,3.0,28.5,159.5
2025-06-03--03h-15m-43s,12.5,117.0,6.0,23.5,159.0
2025-06-03--03h-15m-43s,15.5,117.0,4.0,23.5,160.0
2025-06-03--03h-15m-43s,11.5,124.0,2.0,22.5,160.0
2025-06-03--03h-15m-43s,14.0,118.0,1.0,27.0,160.0
2025-06-03--03h-15m-43s,16.5,125.0,0.0,19.0,160.5
2025-06-03--03h-15m-43s,14.0,122.0,3.0,22.0,161.0
