,Measurement Basis,TT,TR,RT,RR
0,H,66313,505,55731,321
1,D,33511,31498,27265,27704
2,R,31757,33653,25459,29567
3,V,362,63329,510,52957
4,A,31765,32078,27157,27802
5,L,34173,30517,27972,26797
