,Measurement Basis,TT,TR,RT,RR
0,H,36917,39627,40972,34505
1,D,25328,53569,13789,55209
2,R,68810,2276,74473,10370
3,V,34053,43150,44891,32495
4,A,44745,30368,73736,10804
5,L,1701,80393,13118,55734
