Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,15468,99488,22753,84826,38221,184314
1,D,83416,18580,102636,24502,186052,43082
2,R,59562,46758,102189,23824,161751,70582
3,V,82032,17840,111881,15411,193913,33251
4,A,15003,97309,32011,78449,47014,175758
5,L,39295,71128,33055,79349,72350,150477
