Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,87855,897,86969,1431,174824,2328
1,D,43397,45805,40607,35740,84004,81545
2,R,44655,46197,41266,37212,85921,83409
3,V,528,90297,927,65869,1455,156166
4,A,44548,44748,43737,34023,88285,78771
5,L,43672,45697,42442,34879,86114,80576
