data_dir,C',SB,VV,HH,N
2025-06-19--17h-53m-29s,31.0,0.0,32.0,17.0,80.0
2025-06-19--17h-53m-29s,37.0,0.0,29.0,14.0,80.0
2025-06-19--17h-53m-29s,41.0,0.0,25.0,14.0,80.0
2025-06-19--17h-53m-29s,39.0,0.0,36.0,5.0,80.0
2025-06-19--17h-53m-29s,33.0,1.0,37.0,9.0,80.0
2025-06-19--17h-53m-29s,35.0,1.0,31.0,13.0,80.0
2025-06-19--17h-53m-29s,35.0,0.0,33.0,12.0,80.0
2025-06-19--17h-53m-29s,35.0,0.0,32.0,13.0,80.0
2025-06-19--17h-53m-29s,31.0,1.0,39.0,9.0,80.0
2025-06-19--17h-53m-29s,32.0,0.0,31.0,17.0,80.0
2025-06-19--17h-53m-29s,34.0,0.0,38.0,8.0,80.0
2025-06-19--17h-53m-29s,31.0,1.0,33.0,15.0,80.0
2025-06-19--17h-53m-29s,35.0,1.0,31.0,13.0,80.0
2025-06-19--17h-53m-29s,38.0,0.0,30.0,12.0,80.0
2025-06-19--17h-53m-29s,30.0,0.0,33.0,17.0,80.0
2025-06-19--17h-53m-29s,32.0,0.0,33.0,15.0,80.0
2025-06-19--17h-53m-29s,31.0,1.0,30.0,18.0,80.0
2025-06-19--17h-53m-29s,39.0,0.0,28.0,13.0,80.0
2025-06-19--17h-53m-29s,41.0,1.0,29.0,9.0,80.0
2025-06-19--17h-53m-29s,36.0,1.0,32.0,11.0,80.0
2025-06-19--17h-53m-29s,40.0,1.0,27.0,12.0,80.0
2025-06-19--17h-53m-29s,34.0,0.0,29.0,17.0,80.0
2025-06-19--17h-53m-29s,38.0,0.0,38.0,4.0,80.0
2025-06-19--17h-53m-29s,35.0,0.0,35.0,10.0,80.0
2025-06-19--17h-53m-29s,38.0,0.0,28.0,14.0,80.0
2025-06-19--17h-53m-29s,33.0,0.0,26.0,21.0,80.0
2025-06-19--17h-53m-29s,40.0,0.0,28.0,12.0,80.0
2025-06-19--17h-53m-29s,29.0,0.0,38.0,13.0,80.0
2025-06-19--17h-53m-29s,38.0,0.0,32.0,10.0,80.0
2025-06-19--17h-53m-29s,30.0,1.0,36.0,13.0,80.0
2025-06-19--17h-53m-29s,29.0,0.0,41.0,10.0,80.0
2025-06-19--17h-53m-29s,30.0,1.0,32.0,17.0,80.0
2025-06-19--17h-53m-29s,34.0,1.0,31.0,14.0,80.0
2025-06-19--17h-53m-29s,36.0,0.0,35.0,9.0,80.0
2025-06-19--17h-53m-29s,38.0,1.0,33.0,8.0,80.0
2025-06-19--17h-53m-29s,38.0,0.0,25.0,17.0,80.0
2025-06-19--17h-53m-29s,33.0,0.0,31.0,16.0,80.0
2025-06-19--17h-53m-29s,37.0,0.0,35.0,8.0,80.0
2025-06-19--17h-53m-29s,27.0,1.0,37.0,15.0,80.0
2025-06-19--17h-53m-29s,37.0,1.0,38.0,4.0,80.0
2025-06-19--17h-53m-29s,33.0,0.0,35.0,12.0,80.0
