Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,111147,1809,132867,1495,244014,3304
1,D,55984,58323,62656,56459,118640,114782
2,R,54201,60128,58528,60325,112729,120453
3,V,1276,113408,1166,103867,2442,217275
4,A,56257,57595,64879,55337,121136,112932
5,L,57775,56091,66534,53502,124309,109593
