Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,141545,970,170324,1457,311869,2427
1,D,70818,75154,81774,71729,152592,146883
2,R,69100,77343,76382,77341,145482,154684
3,V,586,146607,1151,133782,1737,280389
4,A,71332,73593,82531,70593,153863,144186
5,L,73989,72312,85618,68817,159607,141129
