,Measurement Basis,TT,TR,RT,RR
0,H,5641,112115,6951,92787
1,D,84384,35130,93949,31269
2,R,60403,58856,85266,37930
3,V,113816,5665,131730,3839
4,A,35016,83936,45457,66962
5,L,58818,59674,56369,57640
