theta_estimate,delta_phi_estimate
33.11628648477786,27.223888204239966
30.351221917337636,0.0
23.97743352928098,0.0
23.97743352928098,0.0
30.351221917337636,0.0
20.101326681522107,0.0
27.33649984771058,0.0
27.33649984771058,18.178642952154597
23.97743352928098,0.0
30.351221917337636,29.629227729230948
15.319619530017288,0.0
33.11628648477786,0.0
33.11628648477786,18.178642952154597
33.11628648477786,0.0
27.33649984771058,0.0
30.351221917337636,16.54258264340555
23.97743352928098,20.422155428503196
33.11628648477786,18.178642952154597
23.97743352928098,0.0
33.11628648477786,0.0
30.351221917337636,23.776128353464095
15.319619530017288,0.0
27.33649984771058,18.178642952154597
30.351221917337636,16.54258264340555
27.33649984771058,26.22280145988524
20.101326681522107,0.0
35.69025736496063,25.325007660975533
20.101326681522107,0.0
30.351221917337636,23.776128353464095
20.101326681522107,23.776128353464095
30.351221917337636,0.0
27.33649984771058,18.178642952154597
27.33649984771058,18.178642952154597
30.351221917337636,23.776128353464095
23.97743352928098,20.422155428503196
35.69025736496063,0.0
30.351221917337636,16.54258264340555
15.319619530017288,0.0
30.351221917337636,23.776128353464095
30.351221917337636,34.860241695139976
20.101326681522107,44.57026553758209
30.351221917337636,16.54258264340555
27.33649984771058,26.22280145988524
33.11628648477786,15.281423367285226
23.97743352928098,0.0
38.11234742630403,27.223888204239966
30.351221917337636,16.54258264340555
23.97743352928098,0.0
20.101326681522107,0.0
35.69025736496063,0.0
27.33649984771058,0.0
30.351221917337636,29.629227729230948
33.11628648477786,0.0
33.11628648477786,18.178642952154597
20.101326681522107,0.0
23.97743352928098,20.422155428503196
27.33649984771058,18.178642952154597
23.97743352928098,37.34593353873369
15.319619530017288,90.0
33.11628648477786,21.908502606759928
23.97743352928098,0.0
23.97743352928098,20.422155428503196
23.97743352928098,0.0
20.101326681522107,23.776128353464095
27.33649984771058,0.0
20.101326681522107,0.0
30.351221917337636,16.54258264340555
33.11628648477786,0.0
23.97743352928098,20.422155428503196
27.33649984771058,26.22280145988524
23.97743352928098,20.422155428503196
33.11628648477786,0.0
27.33649984771058,26.22280145988524
23.97743352928098,29.629227729230948
27.33649984771058,32.81822951165323
27.33649984771058,0.0
30.351221917337636,23.776128353464095
33.11628648477786,0.0
27.33649984771058,0.0
27.33649984771058,18.178642952154597
23.97743352928098,29.629227729230948
30.351221917337636,0.0
33.11628648477786,0.0
27.33649984771058,18.178642952154597
20.101326681522107,0.0
23.97743352928098,37.34593353873369
23.97743352928098,20.422155428503196
23.97743352928098,0.0
20.101326681522107,23.776128353464095
30.351221917337636,0.0
30.351221917337636,0.0
23.97743352928098,44.57026553758209
27.33649984771058,0.0
30.351221917337636,23.776128353464095
15.319619530017288,29.629227729230948
33.11628648477786,0.0
20.101326681522107,34.860241695139976
30.351221917337636,23.776128353464095
8.171233559949766,44.57026553758209
30.351221917337636,20.422155428503196
33.11628648477786,27.223888204239966
35.69025736496063,29.629227729230948
27.33649984771058,26.22280145988524
30.351221917337636,0.0
33.11628648477786,21.908502606759928
23.97743352928098,20.422155428503196
23.97743352928098,0.0
38.11234742630403,15.281423367285226
27.33649984771058,0.0
33.11628648477786,21.908502606759928
20.101326681522107,34.860241695139976
15.319619530017288,0.0
30.351221917337636,29.629227729230948
35.69025736496063,20.422155428503196
20.101326681522107,0.0
30.351221917337636,23.776128353464095
27.33649984771058,18.178642952154597
27.33649984771058,18.178642952154597
23.97743352928098,20.422155428503196
35.69025736496063,25.325007660975533
30.351221917337636,0.0
35.69025736496063,16.54258264340555
15.319619530017288,29.629227729230948
30.351221917337636,0.0
15.319619530017288,29.629227729230948
30.351221917337636,0.0
38.11234742630403,21.908502606759928
27.33649984771058,26.22280145988524
27.33649984771058,18.178642952154597
27.33649984771058,0.0
27.33649984771058,38.811098750046256
30.351221917337636,0.0
20.101326681522107,0.0
27.33649984771058,18.178642952154597
27.33649984771058,18.178642952154597
33.11628648477786,0.0
27.33649984771058,26.22280145988524
27.33649984771058,0.0
30.351221917337636,16.54258264340555
33.11628648477786,21.908502606759928
27.33649984771058,0.0
23.97743352928098,29.629227729230948
27.33649984771058,18.178642952154597
30.351221917337636,16.54258264340555
20.101326681522107,0.0
23.97743352928098,0.0
23.97743352928098,29.629227729230948
23.97743352928098,20.422155428503196
30.351221917337636,16.54258264340555
33.11628648477786,0.0
27.33649984771058,18.178642952154597
20.101326681522107,0.0
27.33649984771058,18.178642952154597
27.33649984771058,18.178642952154597
30.351221917337636,16.54258264340555
23.97743352928098,37.34593353873369
33.11628648477786,0.0
33.11628648477786,0.0
15.319619530017288,0.0
38.11234742630403,13.437451997627068
23.97743352928098,0.0
30.351221917337636,23.776128353464095
27.33649984771058,18.178642952154597
33.11628648477786,18.178642952154597
38.11234742630403,38.811098750046256
23.97743352928098,20.422155428503196
27.33649984771058,32.81822951165323
33.11628648477786,18.178642952154597
23.97743352928098,29.629227729230948
30.351221917337636,16.54258264340555
30.351221917337636,16.54258264340555
23.97743352928098,20.422155428503196
33.11628648477786,0.0
30.351221917337636,16.54258264340555
33.11628648477786,26.22280145988524
38.11234742630403,21.908502606759928
20.101326681522107,0.0
23.97743352928098,20.422155428503196
27.33649984771058,32.81822951165323
23.97743352928098,37.34593353873369
23.97743352928098,0.0
27.33649984771058,18.178642952154597
20.101326681522107,23.776128353464095
40.410340977200406,0.0
23.97743352928098,37.34593353873369
27.33649984771058,34.860241695139976
27.33649984771058,18.178642952154597
20.101326681522107,0.0
35.69025736496063,16.54258264340555
27.33649984771058,23.776128353464095
