data_dir,C,DB_H,DB_V,SB,N,theta_estimate,delta_phi_estimate,theta_estimate_degrees,delta_phi_estimate_degrees
2025-05-27--13h-50m-17s,0.0,17.0,6.0,17.0,40.0,1.292206624403246,0.0,74.03798583715276,0.0
2025-05-27--13h-50m-17s,0.5,16.0,5.0,18.5,40.0,1.292206624403246,0.16294147861051939,74.03798583715276,9.335859032003938
2025-05-27--13h-50m-17s,0.0,18.0,4.0,18.0,40.0,1.2132252231493863,0.0,69.51268488527734,0.0
2025-05-27--13h-50m-17s,1.0,15.0,2.0,22.0,40.0,1.2397845987056022,0.21005573907123887,71.03442501115143,12.035307311283255
2025-05-27--13h-50m-17s,1.0,18.0,3.0,18.0,40.0,1.1863995522992576,0.23147736397017837,67.97568716295784,13.262676008304846
2025-05-27--13h-50m-17s,0.0,18.0,4.0,18.0,40.0,1.2132252231493863,0.0,69.51268488527734,0.0
2025-05-27--13h-50m-17s,1.0,17.0,7.0,15.0,40.0,1.318116071652818,0.25268025514207865,75.52248781407008,14.477512185929925
2025-05-27--13h-50m-17s,1.5,13.0,10.0,15.5,40.0,1.4957258357181802,0.30159570280483483,85.69877769532964,17.28016088999892
2025-05-27--13h-50m-17s,2.0,18.0,5.0,15.0,40.0,1.2397845987056022,0.3501057777671455,71.03442501115143,20.05958344920257
2025-05-27--13h-50m-17s,1.0,18.0,4.0,17.0,40.0,1.2132252231493863,0.23794112483020827,69.51268488527734,13.63302222536641
2025-05-27--13h-50m-17s,0.5,13.0,9.0,17.5,40.0,1.4706289056333368,0.16744807921968932,84.26082952273322,9.594068226860461
2025-05-27--13h-50m-17s,0.0,16.0,9.0,15.0,40.0,1.3948905586311804,0.0,79.92134189221234,0.0
2025-05-27--13h-50m-17s,1.0,13.0,8.0,18.0,40.0,1.445468495626831,0.23147736397017837,82.81924421854171,13.262676008304846
2025-05-27--13h-50m-17s,1.0,20.0,4.0,15.0,40.0,1.1592794807274087,0.25268025514207865,66.42182152179818,14.477512185929925
2025-05-27--13h-50m-17s,0.5,18.0,3.0,18.5,40.0,1.1863995522992576,0.16294147861051939,67.97568716295784,9.335859032003938
2025-05-27--13h-50m-17s,3.0,8.0,8.0,21.0,40.0,1.5707963267948966,0.3613671239067078,90.0,20.704811054635428
2025-05-27--13h-50m-17s,0.0,12.0,10.0,18.0,40.0,1.5207754699891267,0.0,87.13401601740115,0.0
