data_dir,C,DB_H,DB_V,SB,N,repetition,theta_estimate,delta_phi_estimate
2025-05-31--23h-55m-56s,1.0,11.0,14.0,14.5,40.5,,1.6449383090286596,0.2568139174208071
2025-05-31--23h-55m-56s,1.0,7.0,9.0,23.5,40.5,,1.6201991361175103,0.20343074027108307
2025-05-31--23h-55m-56s,0.0,13.0,8.0,19.0,40.0,,1.445468495626831,0.0
2025-05-31--23h-55m-56s,0.5,11.0,11.0,17.5,40.0,,1.5707963267948966,0.16744807921968932
2025-05-31--23h-55m-56s,1.5,8.0,11.0,19.0,39.5,,1.646818900604835,0.2739132803034041
2025-05-31--23h-55m-56s,0.5,9.0,8.0,22.0,39.5,,1.545477166002274,0.14962890935951745
2025-05-31--23h-55m-56s,0.0,11.0,9.0,19.5,39.5,,1.5201417558761694,0.0
2025-05-31--23h-55m-56s,0.0,9.0,17.0,13.5,39.5,,1.7747387821580296,0.0
2025-05-31--23h-55m-56s,0.0,10.0,13.0,18.0,41.0,,1.6440325084585206,0.0
2025-05-31--23h-55m-56s,1.0,11.0,12.0,15.0,39.0,,1.5964401629350142,0.25268025514207865
2025-05-31--23h-55m-56s,1.5,6.0,14.0,19.5,41.0,,1.7671781166038096,0.2705497629785729
2025-05-31--23h-55m-56s,1.0,9.0,12.0,18.5,40.5,,1.6449383090286596,0.22843700176633056
2025-05-31--23h-55m-56s,0.5,15.0,12.0,12.5,40.0,,1.4957258357181802,0.19739555984988078
2025-05-31--23h-55m-56s,0.5,13.0,12.0,14.5,40.0,,1.5457937218955355,0.18360401027891857
2025-05-31--23h-55m-56s,0.5,14.0,8.0,18.0,40.5,,1.4221008325273343,0.16514867741462683
2025-05-31--23h-55m-56s,0.5,16.0,12.0,10.5,39.0,,1.468051548929302,0.21484983307571223
2025-05-31--23h-55m-56s,0.0,15.0,10.0,14.0,39.0,,1.4422373667534711,0.0
2025-05-31--23h-55m-56s,1.5,10.0,14.0,14.5,40.0,,1.6709637479564565,0.31118424427751035
2025-05-31--23h-55m-56s,0.0,11.0,10.0,18.0,39.0,,1.5451524906547789,0.0
2025-05-31--23h-55m-56s,1.0,8.0,11.0,19.5,39.5,,1.646818900604835,0.2226992869957371
2025-05-31--23h-55m-56s,2.0,10.0,11.0,18.0,41.0,,1.5951889895725517,0.3217505543966422
2025-05-31--23h-55m-56s,1.0,15.0,9.0,15.5,40.5,,1.4221008325273343,0.24874004995928137
2025-05-31--23h-55m-56s,0.5,10.0,8.0,20.5,39.0,,1.5194917715306968,0.15492231987081348
2025-05-31--23h-55m-56s,0.0,13.0,6.0,20.0,39.0,,1.390331186398881,0.0
2025-05-31--23h-55m-56s,1.5,11.0,6.0,22.0,40.5,,1.447023753236062,0.25541356251707903
2025-05-31--23h-55m-56s,0.5,11.0,11.0,17.0,39.5,,1.5707963267948966,0.16984628808367366
2025-05-31--23h-55m-56s,0.0,14.0,5.0,20.0,39.0,,1.3379281485368142,0.0
2025-05-31--23h-55m-56s,1.0,11.0,11.0,18.0,41.0,,1.5707963267948966,0.23147736397017837
2025-05-31--23h-55m-56s,0.0,20.0,5.0,14.5,39.5,,1.1812737103502404,0.0
2025-05-31--23h-55m-56s,0.5,13.0,6.0,20.0,39.5,,1.3926401971740683,0.1568156853444008
2025-05-31--23h-55m-56s,2.0,12.0,9.0,16.0,39.0,,1.493797186138073,0.339836909454122
2025-05-31--23h-55m-56s,0.0,12.0,11.0,17.0,40.0,,1.5457937218955355,0.0
2025-05-31--23h-55m-56s,0.0,12.0,9.0,18.5,39.5,,1.4947737529849583,0.0
2025-05-31--23h-55m-56s,0.5,11.0,12.0,16.0,39.5,,1.5961154875875192,0.17496904566568888
2025-05-31--23h-55m-56s,0.5,8.0,13.0,19.0,40.5,,1.6945689003537312,0.16082048067446467
2025-05-31--23h-55m-56s,3.0,8.0,11.0,18.5,40.5,,1.6449383090286596,0.38282631562153935
2025-05-31--23h-55m-56s,0.5,14.0,11.0,15.5,41.0,,1.4975601451312728,0.17771060084511175
2025-05-31--23h-55m-56s,1.5,17.0,9.0,13.0,40.5,,1.3719578120164142,0.32745442614622466
2025-05-31--23h-55m-56s,0.5,15.0,10.0,14.5,40.0,,1.445468495626831,0.18360401027891857
2025-05-31--23h-55m-56s,1.5,11.0,8.0,20.0,40.5,,1.4966543445611338,0.267307242923732
2025-05-31--23h-55m-56s,2.0,8.0,12.0,17.5,39.5,,1.672236029408577,0.32600003255365007
2025-05-31--23h-55m-56s,1.0,12.0,9.0,17.0,39.0,,1.493797186138073,0.23794112483020827
2025-05-31--23h-55m-56s,0.0,14.0,12.0,14.0,40.0,,1.5207754699891267,0.0
2025-05-31--23h-55m-56s,0.0,15.0,10.0,14.0,39.0,,1.4422373667534711,0.0
2025-05-31--23h-55m-56s,0.5,9.0,9.0,22.5,41.0,,1.5707963267948966,0.14798146074878374
2025-05-31--23h-55m-56s,0.0,14.0,7.0,19.0,40.0,,1.3948905586311804,0.0
2025-05-31--23h-55m-56s,0.5,13.0,11.0,14.5,39.0,,1.5194917715306968,0.18360401027891857
2025-05-31--23h-55m-56s,0.5,6.0,9.0,24.0,39.5,,1.646818900604835,0.14334756890536535
2025-05-31--23h-55m-56s,0.0,6.0,11.0,22.0,39.0,,1.699355286836322,0.0
2025-05-31--23h-55m-56s,0.5,6.0,11.0,22.0,39.5,,1.697719105693102,0.14962890935951745
