detector_a_name,detector_b_name,detector_a_time_tag,detector_b_time_tag,timestamp,tomography_setting_t,tomography_setting_r,data_dir
2,4,2554332345569449472,2554332345569449472,2025-06-18--18h-24m-03s,H,H,2025-06-18--18h-23m-35s
7,10,2554332345578751488,2554332345578751488,2025-06-18--18h-24m-02s,H,H,2025-06-18--18h-23m-35s
2,11,2554332345579651072,2554332345579651072,2025-06-18--18h-24m-03s,H,H,2025-06-18--18h-23m-35s
9,10,2554332345583714816,2554332345583714816,2025-06-18--18h-24m-02s,H,H,2025-06-18--18h-23m-35s
7,10,2554332345586258944,2554332345586258944,2025-06-18--18h-24m-02s,H,H,2025-06-18--18h-23m-35s
2,11,2554332345590446592,2554332345590446592,2025-06-18--18h-24m-03s,H,H,2025-06-18--18h-23m-35s
2,7,2554332345605455360,2554332345605455360,2025-06-18--18h-24m-03s,H,H,2025-06-18--18h-23m-35s
10,11,2554332345616812544,2554332345616812544,2025-06-18--18h-24m-02s,H,H,2025-06-18--18h-23m-35s
10,11,2554332345619747328,2554332345619747328,2025-06-18--18h-24m-02s,H,H,2025-06-18--18h-23m-35s
7,10,2554332345629670400,2554332345629670400,2025-06-18--18h-24m-02s,H,H,2025-06-18--18h-23m-35s
7,12,2554332345632470016,2554332345632470016,2025-06-18--18h-24m-02s,H,H,2025-06-18--18h-23m-35s
1,10,2554332345639232000,2554332345639232000,2025-06-18--18h-24m-02s,H,H,2025-06-18--18h-23m-35s
2,10,2554332345645980160,2554332345645980160,2025-06-18--18h-24m-03s,H,H,2025-06-18--18h-23m-35s
7,10,2554332345647094784,2554332345647094784,2025-06-18--18h-24m-02s,H,H,2025-06-18--18h-23m-35s
4,11,2554332345651187712,2554332345651187712,2025-06-18--18h-24m-02s,H,H,2025-06-18--18h-23m-35s
7,9,2554332345654482432,2554332345654482432,2025-06-18--18h-24m-02s,H,H,2025-06-18--18h-23m-35s
7,10,2554332345655495680,2554332345655495680,2025-06-18--18h-24m-02s,H,H,2025-06-18--18h-23m-35s
2,11,2554332345680397312,2554332345680397312,2025-06-18--18h-24m-03s,H,H,2025-06-18--18h-23m-35s
2,10,2554332345683905024,2554332345683905024,2025-06-18--18h-24m-03s,H,H,2025-06-18--18h-23m-35s
1,10,2554332345685795328,2554332345685795328,2025-06-18--18h-24m-02s,H,H,2025-06-18--18h-23m-35s
1,10,2554332345686331392,2554332345686331392,2025-06-18--18h-24m-02s,H,H,2025-06-18--18h-23m-35s
9,10,2554332345704449536,2554332345704449536,2025-06-18--18h-24m-02s,H,H,2025-06-18--18h-23m-35s
2,11,2554332345708171776,2554332345708171776,2025-06-18--18h-24m-03s,H,H,2025-06-18--18h-23m-35s
2,7,2554332345719014912,2554332345719014912,2025-06-18--18h-24m-03s,H,H,2025-06-18--18h-23m-35s
7,11,2554332345723401216,2554332345723401216,2025-06-18--18h-24m-02s,H,H,2025-06-18--18h-23m-35s
2,7,2554332345727052800,2554332345727052800,2025-06-18--18h-24m-03s,H,H,2025-06-18--18h-23m-35s
10,11,2554332345751961088,2554332345751961088,2025-06-18--18h-24m-02s,H,H,2025-06-18--18h-23m-35s
2,7,2554332345754188800,2554332345754188800,2025-06-18--18h-24m-03s,H,H,2025-06-18--18h-23m-35s
2,7,2554332345755178496,2554332345755178496,2025-06-18--18h-24m-03s,H,H,2025-06-18--18h-23m-35s
7,11,2554332345773214720,2554332345773214720,2025-06-18--18h-24m-02s,H,H,2025-06-18--18h-23m-35s
4,11,2554332345789746688,2554332345789746688,2025-06-18--18h-24m-02s,H,H,2025-06-18--18h-23m-35s
1,11,2554332345800338944,2554332345800338944,2025-06-18--18h-24m-02s,H,H,2025-06-18--18h-23m-35s
10,11,2554332345823816192,2554332345823816192,2025-06-18--18h-24m-02s,H,H,2025-06-18--18h-23m-35s
9,11,2554332345833705984,2554332345833705984,2025-06-18--18h-24m-02s,H,H,2025-06-18--18h-23m-35s
2,7,2554332345843501568,2554332345843501568,2025-06-18--18h-24m-03s,H,H,2025-06-18--18h-23m-35s
2,10,2554332345850298880,2554332345850298880,2025-06-18--18h-24m-03s,H,H,2025-06-18--18h-23m-35s
10,12,2554332345873267712,2554332345873267712,2025-06-18--18h-24m-02s,H,H,2025-06-18--18h-23m-35s
4,10,2554332345874371072,2554332345874371072,2025-06-18--18h-24m-02s,H,H,2025-06-18--18h-23m-35s
1,2,2554332345876217856,2554332345876217856,2025-06-18--18h-24m-02s,H,H,2025-06-18--18h-23m-35s
7,12,2554332345887640576,2554332345887640576,2025-06-18--18h-24m-02s,H,H,2025-06-18--18h-23m-35s
10,11,2554332345889569280,2554332345889569280,2025-06-18--18h-24m-02s,H,H,2025-06-18--18h-23m-35s
10,11,2554332345891051520,2554332345891051520,2025-06-18--18h-24m-02s,H,H,2025-06-18--18h-23m-35s
2,11,2554332345895438336,2554332345895438336,2025-06-18--18h-24m-03s,H,H,2025-06-18--18h-23m-35s
10,11,2554332345907765760,2554332345907765760,2025-06-18--18h-24m-02s,H,H,2025-06-18--18h-23m-35s
7,11,2554332345916769792,2554332345916769792,2025-06-18--18h-24m-02s,H,H,2025-06-18--18h-23m-35s
4,10,2554332345924784128,2554332345924784128,2025-06-18--18h-24m-02s,H,H,2025-06-18--18h-23m-35s
