detector_a_name,detector_b_name,estimation_label,repetition,coincidences,timestamp
1,11,C,7,0,2025-05-23--16h-55m-26s-573441
1,10,C,7,0,2025-05-23--16h-55m-26s-573441
1,4,DB_H,7,0,2025-05-23--16h-55m-26s-573441
1,7,SB,7,0,2025-05-23--16h-55m-26s-573441
1,2,SB,7,0,2025-05-23--16h-55m-26s-573441
4,9,C,7,0,2025-05-23--16h-55m-26s-573441
4,12,C,7,0,2025-05-23--16h-55m-26s-573441
4,11,C,7,0,2025-05-23--16h-55m-26s-573441
4,10,C,7,0,2025-05-23--16h-55m-26s-573441
4,7,SB,7,1,2025-05-23--16h-55m-26s-573441
7,9,C,7,0,2025-05-23--16h-55m-26s-573441
7,12,C,7,0,2025-05-23--16h-55m-26s-573441
7,11,C,7,0,2025-05-23--16h-55m-26s-573441
7,10,C,7,0,2025-05-23--16h-55m-26s-573441
2,9,C,7,0,2025-05-23--16h-55m-26s-573441
2,12,C,7,0,2025-05-23--16h-55m-26s-573441
2,11,C,7,0,2025-05-23--16h-55m-26s-573441
2,10,C,7,0,2025-05-23--16h-55m-26s-573441
2,4,SB,7,0,2025-05-23--16h-55m-26s-573441
2,7,DB_V,7,0,2025-05-23--16h-55m-26s-573441
9,12,DB_H,8,0,2025-05-23--16h-55m-26s-592122
9,11,SB,8,0,2025-05-23--16h-55m-26s-592122
9,10,SB,8,0,2025-05-23--16h-55m-26s-592122
11,12,SB,8,0,2025-05-23--16h-55m-26s-592122
10,12,SB,8,0,2025-05-23--16h-55m-26s-592122
10,11,DB_V,8,0,2025-05-23--16h-55m-26s-592122
1,9,C,8,0,2025-05-23--16h-55m-26s-592122
1,12,C,8,0,2025-05-23--16h-55m-26s-592122
1,11,C,8,0,2025-05-23--16h-55m-26s-592122
1,10,C,8,0,2025-05-23--16h-55m-26s-592122
1,4,DB_H,8,1,2025-05-23--16h-55m-26s-592122
1,7,SB,8,0,2025-05-23--16h-55m-26s-592122
1,2,SB,8,0,2025-05-23--16h-55m-26s-592122
4,9,C,8,0,2025-05-23--16h-55m-26s-592122
4,12,C,8,0,2025-05-23--16h-55m-26s-592122
4,11,C,8,0,2025-05-23--16h-55m-26s-592122
4,10,C,8,0,2025-05-23--16h-55m-26s-592122
4,7,SB,8,1,2025-05-23--16h-55m-26s-592122
7,9,C,8,0,2025-05-23--16h-55m-26s-592122
7,12,C,8,0,2025-05-23--16h-55m-26s-592122
7,11,C,8,0,2025-05-23--16h-55m-26s-592122
7,10,C,8,0,2025-05-23--16h-55m-26s-592122
2,9,C,8,0,2025-05-23--16h-55m-26s-592122
2,12,C,8,0,2025-05-23--16h-55m-26s-592122
2,11,C,8,0,2025-05-23--16h-55m-26s-592122
2,10,C,8,0,2025-05-23--16h-55m-26s-592122
