data_dir,C',HH,SB,VV,N,theta_estimate,delta_phi_estimate,clipped_delta_phi_estimate
2025-06-20--18h-37m-37s,0.0,3.0,16.0,21.0,40.0,2.037561665842193,,0.0
2025-06-20--18h-37m-37s,0.0,3.0,13.0,24.0,40.0,2.12351143989168,,0.0
2025-06-20--18h-37m-37s,1.0,3.0,14.0,22.0,40.0,2.065760358511791,0.24760952166713798,0.24760952166713798
2025-06-20--18h-37m-37s,1.0,4.0,11.0,24.0,40.0,2.0943951023931957,0.281156990838979,0.281156990838979
2025-06-20--18h-37m-37s,0.0,2.0,20.0,18.0,40.0,1.9823131728623846,,0.0
2025-06-20--18h-37m-37s,0.0,3.0,11.0,26.0,40.0,2.183400474843519,,0.0
2025-06-20--18h-37m-37s,0.0,3.0,11.0,26.0,40.0,2.183400474843519,,0.0
2025-06-20--18h-37m-37s,1.0,2.0,14.0,23.0,40.0,2.12351143989168,0.24760952166713798,0.24760952166713798
2025-06-20--18h-37m-37s,0.0,2.0,13.0,25.0,40.0,2.183400474843519,,0.0
2025-06-20--18h-37m-37s,0.0,4.0,12.0,24.0,40.0,2.0943951023931957,,0.0
2025-06-20--18h-37m-37s,0.0,3.0,18.0,19.0,40.0,1.9823131728623846,,0.0
2025-06-20--18h-37m-37s,0.0,6.0,15.0,19.0,40.0,1.9018080548841911,,0.0
2025-06-20--18h-37m-37s,1.0,1.0,19.0,19.0,40.0,2.037561665842193,0.20924258063201864,0.20924258063201864
2025-06-20--18h-37m-37s,0.0,2.0,20.0,18.0,40.0,1.9823131728623846,,0.0
2025-06-20--18h-37m-37s,0.0,5.0,12.0,23.0,40.0,2.037561665842193,,0.0
2025-06-20--18h-37m-37s,1.0,3.0,12.0,24.0,40.0,2.12351143989168,0.2687030246351712,0.2687030246351712
2025-06-20--18h-37m-37s,0.0,2.0,15.0,23.0,40.0,2.12351143989168,,0.0
2025-06-20--18h-37m-37s,0.0,3.0,16.0,21.0,40.0,2.037561665842193,,0.0
2025-06-20--18h-37m-37s,1.0,3.0,14.0,22.0,40.0,2.065760358511791,0.24760952166713798,0.24760952166713798
2025-06-20--18h-37m-37s,0.0,1.0,12.0,27.0,40.0,2.278380763520252,,0.0
