,Measurement Basis,TT,TR,RT,RR
0,H,32134,32432,31865,33845
1,D,26233,38400,11763,53808
2,R,65780,1369,57116,8211
3,V,35215,29976,31634,33707
4,A,40645,24449,51970,11816
5,L,1157,61548,8131,58235
