angle,singles,coincidences
0.0,14377.0,746
9.0,13340.0,64
18.0,13609.0,157
27.0,15645.0,1068
36.0,17482.0,2312
45.0,20098.0,3660
54.0,20776.0,4380
63.0,20821.0,4225
72.0,19367.0,3367
81.0,16856.0,2018
90.0,14840.0,791
99.0,13587.0,63
108.0,14126.0,184
117.0,15238.0,983
126.0,17843.0,2353
135.0,19617.0,3578
144.0,20706.0,4236
153.0,20534.0,4200
162.0,19240.0,3232
171.0,17341.0,2008
180.0,14827.0,821
52.11997529352492,20795.0,4229
53.11997529352492,20868.0,4202
54.11997529352492,21229.0,4311
55.11997529352492,21148.0,4288
56.11997529352492,20733.0,4423
57.11997529352492,21056.0,4377
58.11997529352492,21207.0,4319
59.11997529352492,20803.0,4168
60.11997529352492,20677.0,4305
61.11997529352492,20956.0,4212
62.11997529352492,21145.0,4234
7.119975293524918,13529.0,132
8.786641960191584,13480.0,68
10.45330862685825,13291.0,23
12.119975293524917,13535.0,5
13.786641960191584,13589.0,12
15.45330862685825,13479.0,68
17.119975293524917,13664.0,110
