,Measurement Basis,TT,TR,RT,RR
0,H,32225,32773,31936,33733
1,D,1170,61535,7971,58018
2,R,26167,38515,12219,53256
3,V,34168,30653,32053,33750
4,A,65262,1193,56942,7946
5,L,40201,24769,53337,11996
