,Measurement Basis,TT,TR,RT,RR
0,H,66355,541,55748,412
1,D,33222,32428,25888,28969
2,R,33435,31921,25903,29092
3,V,385,63247,410,53447
4,A,33318,31430,27885,27008
5,L,33292,31919,27008,27938
