,Measurement Basis,TT,TR,RT,RR
0,H,112571,16742,112872,13247
1,D,107330,22324,104143,21045
2,R,61436,68765,80030,38953
3,V,16804,114732,22371,81229
4,A,22136,108555,23611,80922
5,L,68202,62389,45975,65163
