theta,n,theta_estimator_mean,theta_estimator_variance
0.0,40,0.0,0.0
0.006283185307179587,40,0.00017688198329830556,3.961272973521377e-05
0.012566370614359173,40,0.0007070391144099225,0.00015807616892416507
0.01884955592153876,40,0.0015890081327631657,0.0003542712379943017
0.025132741228718346,40,0.002820360891670059,0.0006263499429857694
0.031415926535897934,40,0.004397720179823453,0.0009717607490293405
0.03769911184307752,40,0.006316781652913145,0.0013872834423547724
0.04398229715025711,40,0.00857234166038222,0.001869072838877385
0.05026548245743669,40,0.011158330695712216,0.0024127105403497755
0.05654866776461628,40,0.014067852145445139,0.0030132638006959214
0.06283185307179587,40,0.017293225963337037,0.003665350448535624
0.06911503837897545,40,0.020826036851776045,0.004363208719364516
0.07539822368615504,40,0.024657186493784265,0.005100770784174161
0.08168140899333462,40,0.028776949345740516,0.005871738721422581
0.08796459430051422,40,0.03317503147392463,0.006669661666502738
0.0942477796076938,40,0.037840631897247755,0.0074880128867371365
0.10053096491487339,40,0.04276250588426442,0.008320265569324822
0.10681415022205297,40,0.0479290296449523,0.009159966172846132
0.11309733552923255,40,0.05332826585650389,0.01000080427753083
0.11938052083641215,40,0.05894802946771949,0.010836677972796702
0.12566370614359174,40,0.06477595323790014,0.011661753939345274
0.13194689145077132,40,0.07079955248359437,0.012470521514024903
0.1382300767579509,40,0.07700628852916813,0.013257840165078139
0.1445132620651305,40,0.08338363038524438,0.014018979949776715
0.15079644737231007,40,0.08991911421129553,0.014749654672150586
0.15707963267948966,40,0.09660040015515967,0.01544604760223741
0.16336281798666924,40,0.10341532620200088,0.016104829756809123
0.16964600329384885,40,0.11035195870781203,0.0167231708720766
0.17592918860102844,40,0.11739863933721073,0.01729874331896001
0.18221237390820802,40,0.12454402817137397,0.017829719319125106
0.1884955592153876,40,0.13177714279896896,0.018314761913547212
0.1947787445225672,40,0.13908739324999458,0.01875301021374665
0.20106192982974677,40,0.14646461267916247,0.01914405952839086
0.20734511513692636,40,0.1538990837511148,0.019487937004469498
0.21362830044410594,40,0.16138156072386436,0.019785073452894222
0.21991148575128552,40,0.16890328726893553,0.02003627204375313
0.2261946710584651,40,0.17645601010620227,0.020242674557431176
0.2324778563656447,40,0.18403198856816075,0.02040572586557616
0.2387610416728243,40,0.19162400024181014,0.02052713729183734
0.2450442269800039,40,0.199225342866338,0.020608849467958233
0.25132741228718347,40,0.20682983269119518,0.02065299525784716
0.25761059759436306,40,0.21443179952163588,0.020661863272352685
0.26389378290154264,40,0.22202607869753377,0.020637862442356138
0.2701769682087222,40,0.22960800026602485,0.020583488059109145
0.2764601535159018,40,0.23717337561952306,0.020501289630051767
0.2827433388230814,40,0.244718481877797,0.0203938408371283
0.289026524130261,40,0.2522400442964481,0.020263711824149558
0.29530970943744056,40,0.25973521698421376,0.020113443981227788
0.30159289474462014,40,0.26720156220858404,0.019945527338676494
0.3078760800517997,40,0.2746370285631739,0.019762380630869547
0.3141592653589793,40,0.28203992826168206,0.0195663340429902
0.3204424506661589,40,0.2894089138122441,0.019359614610857168
0.3267256359733385,40,0.2967429543129596,0.019144334206375985
0.33300882128051806,40,0.30404131159449466,0.01892248000879751
0.3392920065876977,40,0.3113035164195091,0.018695907334874445
0.3455751918948773,40,0.3185293449312837,0.018466334679104524
0.35185837720205687,40,0.32571879552581007,0.01823534079834402
0.35814156250923646,40,0.33287206630296007,0.018004363662868658
0.36442474781641604,40,0.3399895332335344,0.017774701088132894
0.3707079331235956,40,0.34707172916013457,0.017547512857637712
0.3769911184307752,40,0.3541193237312872,0.017323824147022437
0.3832743037379548,40,0.3611331043501871,0.017104530062346385
0.3895574890451344,40,0.3681139582020574,0.016890401111039816
0.39584067435231396,40,0.37506285540757905,0.016682089431771158
0.40212385965949354,40,0.3819808333343002,0.016480135619059866
0.4084070449666731,40,0.38886898208343845,0.016284975989468126
0.4146902302738527,40,0.39572843115622897,0.01609695014824991
0.4209734155810323,40,0.4025603372918564,0.015916308728082418
0.4272566008882119,40,0.4093658734582445,0.01574322118464408
0.43353978619539146,40,0.41614621896745085,0.015577783547054663
0.43982297150257105,40,0.4229025506791685,0.015420026034331152
0.44610615680975063,40,0.4296360352488746,0.015269920461815134
0.4523893421169302,40,0.43634782237138764,0.015127387373848278
0.4586725274241098,40,0.4430390389660234,0.014992302850652534
0.4649557127312894,40,0.44971078424602534,0.014864504948323948
0.471238898038469,40,0.45636412561250916,0.014743799740977143
0.4775220833456486,40,0.46300009531164665,0.014629966943352307
0.4838052686528282,40,0.46961968779317964,0.014522765100549784
0.4900884539600078,40,0.47622385770849807,0.014421936339026942
0.49637163926718736,40,0.48281351848734216,0.014327210679533936
0.5026548245743669,40,0.4893895414336419,0.014238309918338521
0.5089380098815465,40,0.4959527552829432,0.014154951087905127
0.5152211951887261,40,0.5025039461662439,0.014076849512197454
0.5215043804959056,40,0.5090438579278025,0.014003721475025765
0.5277875658030853,40,0.5155731927474712,0.013935286522391288
0.5340707511102648,40,0.5220926120212992,0.013871269421685484
0.5403539364174444,40,0.52860273745748,0.013811401801897327
0.5466371217246241,40,0.5351041523481328,0.013755423499777264
0.5529203070318036,40,0.5415974029808026,0.013703083637218338
0.5592034923389833,40,0.5480830001570004,0.013654141455040791
0.5654866776461628,40,0.5545614207883947,0.013608366927941096
0.5717698629533424,40,0.5610331095445116,0.013565541184651475
0.578053048260522,40,0.5674984805289164,0.013525456756410037
0.5843362335677016,40,0.573957918963752,0.013487917675703398
0.5906194188748811,40,0.5804117828653151,0.013452739445964035
0.5969026041820608,40,0.586860404695942,0.013419748901523643
