delta_phi,theta,n,delta_phi_estimator_mean,delta_phi_estimator_variance
0.0,0.7853981633974483,40,0.0,0.0
0.0031415926535897933,0.7853981633974483,40,3.146992333480939e-05,1.0255941923174535e-05
0.006283185307179587,0.7853981633974483,40,0.00012586867429450696,4.101190256777189e-05
0.00942477796076938,0.7853981633974483,40,0.00028316320529494387,9.223230735919362e-05
0.012566370614359173,0.7853981633974483,40,0.0005032984688497147,0.00016385793462308913
0.015707963267948967,0.7853981633974483,40,0.0007861974652555689,0.00025580601933331774
0.01884955592153876,0.7853981633974483,40,0.0011317613092613258,0.0003679703980056462
0.021991148575128554,0.7853981633974483,40,0.0015398693156298902,0.0005002216943851055
0.025132741228718346,0.7853981633974483,40,0.0020103791034773778,0.0006524075454762507
0.02827433388230814,0.7853981633974483,40,0.002543126719247973,0.0008243528673683137
0.031415926535897934,0.7853981633974483,40,0.0031379267781581595,0.001015860160211791
0.034557519189487726,0.7853981633974483,40,0.0037945726239193146,0.0012267098516095794
0.03769911184307752,0.7853981633974483,40,0.004512836506522666,0.001456660677594501
0.04084070449666731,0.7853981633974483,40,0.005292469777847542,0.0017054501002768349
0.04398229715025711,0.7853981633974483,40,0.006133203104829537,0.0019727947611596704
0.0471238898038469,0.7853981633974483,40,0.007034746699901964,0.002258390969037358
0.05026548245743669,0.7853981633974483,40,0.007996790568402743,0.0025619152213137474
0.053407075111026485,0.7853981633974483,40,0.009019004772614872,0.002883024757500777
0.05654866776461628,0.7853981633974483,40,0.010101039712088896,0.003221358143587044
0.059690260418206076,0.7853981633974483,40,0.011242526419874457,0.0035765358858981977
0.06283185307179587,0.7853981633974483,40,0.01244307687426772,0.003948161073007728
0.06597344572538566,0.7853981633974483,40,0.013702284325662098,0.00433582004419789
0.06911503837897545,0.7853981633974483,40,0.015019723638072364,0.004739083082916628
0.07225663103256524,0.7853981633974483,40,0.016394951644881545,0.005157505133625976
0.07539822368615504,0.7853981633974483,40,0.017827507518346986,0.0055906265403939445
0.07853981633974483,0.7853981633974483,40,0.019316913152381873,0.006037973805540921
0.08168140899333462,0.7853981633974483,40,0.020862673558114993,0.00649906036661759
0.08482300164692443,0.7853981633974483,40,0.022464277271719037,0.006973387389962091
0.08796459430051422,0.7853981633974483,40,0.024121196773978348,0.007460444579058208
0.09110618695410401,0.7853981633974483,40,0.025832888921062884,0.007959710995899217
0.0942477796076938,0.7853981633974483,40,0.02759879538595348,0.008470655893545297
0.0973893722612836,0.7853981633974483,40,0.02941834310996389,0.008992739558056354
0.10053096491487339,0.7853981633974483,40,0.03129094476378422,0.009525414157975162
0.10367255756846318,0.7853981633974483,40,0.033215999217469296,0.010068124599539352
0.10681415022205297,0.7853981633974483,40,0.03519289201878796,0.010620309385806622
0.10995574287564276,0.7853981633974483,40,0.03722099587933367,0.011181401477886922
0.11309733552923255,0.7853981633974483,40,0.03929967116780283,0.011750829156494185
0.11623892818282235,0.7853981633974483,40,0.041428266409834665,0.012328016882049063
0.11938052083641215,0.7853981633974483,40,0.04360611879380448,0.012912386151590063
0.12252211349000194,0.7853981633974483,40,0.04583255468196141,0.01350335635078069
0.12566370614359174,0.7853981633974483,40,0.04810689012629526,0.0141003455993335
0.12880529879718153,0.7853981633974483,40,0.050428431388526165,0.014702771588212291
0.13194689145077132,0.7853981633974483,40,0.05279647546359296,0.015310052407012102
0.1350884841043611,0.7853981633974483,40,0.05521031060604262,0.015921607359968344
0.1382300767579509,0.7853981633974483,40,0.05766921685869752,0.01653685776908962
0.1413716694115407,0.7853981633974483,40,0.06017246658300623,0.01715522776296785
0.1445132620651305,0.7853981633974483,40,0.06271932499046591,0.017776145049870313
0.14765485471872028,0.7853981633974483,40,0.06530905067452442,0.018399041673780675
0.15079644737231007,0.7853981633974483,40,0.06794089614236946,0.01902335475211636
0.15393804002589986,0.7853981633974483,40,0.07061410834602005,0.01964852719391355
0.15707963267948966,0.7853981633974483,40,0.07332792921214086,0.020274008397337895
0.16022122533307945,0.7853981633974483,40,0.07608159617001346,0.02089925492544682
0.16336281798666924,0.7853981633974483,40,0.0788743426771042,0.0215237311592
0.16650441064025903,0.7853981633974483,40,0.0817053987416795,0.02214690992678521
0.16964600329384885,0.7853981633974483,40,0.08457399144192522,0.02276827310839861
0.17278759594743864,0.7853981633974483,40,0.08747934544105122,0.02338731221569454
0.17592918860102844,0.7853981633974483,40,0.09042068349785838,0.02400352894519143
0.17907078125461823,0.7853981633974483,40,0.0933972269722676,0.024616435704995904
0.18221237390820802,0.7853981633974483,40,0.09640819632532509,0.025225556114283603
0.1853539665617978,0.7853981633974483,40,0.09945281161320593,0.025830425475047582
0.1884955592153876,0.7853981633974483,40,0.10253029297475294,0.026430591215701113
0.1916371518689774,0.7853981633974483,40,0.10563986111211315,0.027025613306196548
0.1947787445225672,0.7853981633974483,40,0.10878073776403532,0.027615064644393724
0.19792033717615698,0.7853981633974483,40,0.1119521461714183,0.028198531413484898
0.20106192982974677,0.7853981633974483,40,0.11515331153471318,0.028775613410354846
0.20420352248333656,0.7853981633974483,40,0.11838346146279596,0.029345924344824303
0.20734511513692636,0.7853981633974483,40,0.12164182641295268,0.029909092109793638
0.21048670779051615,0.7853981633974483,40,0.12492764012162802,0.030464759022371647
0.21362830044410594,0.7853981633974483,40,0.12824014002560966,0.031012582036138058
0.21676989309769573,0.7853981633974483,40,0.1315785676733414,0.03155223292475293
0.21991148575128552,0.7853981633974483,40,0.13494216912607016,0.03208339843718652
0.22305307840487532,0.7853981633974483,40,0.13833019534855645,0.032605780424902364
0.2261946710584651,0.7853981633974483,40,0.14174190258909278,0.03311909594138264
0.2293362637120549,0.7853981633974483,40,0.1451765527485938,0.03362307731443952
0.2324778563656447,0.7853981633974483,40,0.14863341373854075,0.03411747219180693
0.2356194490192345,0.7853981633974483,40,0.15211175982758335,0.03460204356055668
0.2387610416728243,0.7853981633974483,40,0.1556108719766148,0.035076569740928626
0.2419026343264141,0.7853981633974483,40,0.15913003816216328,0.03554084435520813
0.2450442269800039,0.7853981633974483,40,0.162668553687955,0.03599467627232457
0.24818581963359368,0.7853981633974483,40,0.16622572148452489,0.03643788952888196
0.25132741228718347,0.7853981633974483,40,0.1698008523967645,0.03687032322736809
0.25446900494077324,0.7853981633974483,40,0.17339326545932443,0.03729183141231951
0.25761059759436306,0.7853981633974483,40,0.17700228815980337,0.037702282925249825
0.2607521902479528,0.7853981633974483,40,0.1806272566896554,0.038101561239172785
0.26389378290154264,0.7853981633974483,40,0.18426751618280526,0.038489564273577165
0.2670353755551324,0.7853981633974483,40,0.1879224209419264,0.03886620419072784
0.2701769682087222,0.7853981633974483,40,0.19159133465240188,0.03923140717418675
0.27331856086231204,0.7853981633974483,40,0.19527363058396977,0.03958511319046123
0.2764601535159018,0.7853981633974483,40,0.19896869178009116,0.03992727573469795
0.2796017461694916,0.7853981633974483,40,0.20267591123508222,0.0402578615613514
0.2827433388230814,0.7853981633974483,40,0.20639469205907815,0.04057685040075939
0.2858849314766712,0.7853981633974483,40,0.2101244476308983,0.04088423466256566
0.289026524130261,0.7853981633974483,40,0.21386460173891156,0.04118001912692603
0.2921681167838508,0.7853981633974483,40,0.21761458871000067,0.04146422062443694
0.29530970943744056,0.7853981633974483,40,0.2213738535267486,0.04173686770572009
0.2984513020910304,0.7853981633974483,40,0.2251418519329765,0.041998000301590434
0.30159289474462014,0.7853981633974483,40,0.2289180505277751,0.04224766937472804
0.30473448739820996,0.7853981633974483,40,0.2327019268481934,0.04248593656376282
0.3078760800517997,0.7853981633974483,40,0.2364929694407447,0.04271287382066897
0.31101767270538955,0.7853981633974483,40,0.24029067792190578,0.04292856304235491
0.3141592653589793,0.7853981633974483,40,0.2440945630278149,0.043133095697312315
0.31730085801256913,0.7853981633974483,40,0.247904146653346,0.0433265724481782
0.3204424506661589,0.7853981633974483,40,0.251718961880783,0.0435091027710391
0.3235840433197487,0.7853981633974483,40,0.25553855299830325,0.04368080457228875
0.3267256359733385,0.7853981633974483,40,0.25936247550849767,0.04384180380382799
0.3298672286269283,0.7853981633974483,40,0.263190296127164,0.04399223407737378
0.33300882128051806,0.7853981633974483,40,0.26702159277260656,0.044132236278618606
0.3361504139341079,0.7853981633974483,40,0.2708559545456911,0.04426195818195887
