N,nu,delta_phi,bias,VarCRB_scaled
40,1,0.00314159265358979,-0.00309721787017889,0.000803322272432646
40,1,0.00628318530717959,-0.00610571692256619,0.0032114000918159
40,1,0.00942477796076938,-0.00902558935319935,0.0072185730083952
40,1,0.0125663706143592,-0.0118569886520947,0.0128154287218973
40,1,0.015707963267949,-0.01460012934863,0.0199888356476968
40,1,0.0188495559215388,-0.0172552866559835,0.0287219882946165
40,1,0.0219911485751286,-0.0198227960155318,0.0389944652410197
40,1,0.0251327412287183,-0.0223030525423525,0.0507822994372138
40,1,0.0282743338823081,-0.0246965103732382,0.0640580605050509
40,1,0.0314159265358979,-0.0270036819188595,0.0787909486506159
40,1,0.0345575191894877,-0.0292251370219612,0.0949468997530473
40,1,0.0376991118430775,-0.0313615020237009,0.112488701142429
40,1,0.0408407044966673,-0.03341345874047,0.1313761175325
40,1,0.0439822971502571,-0.0353817433537456,0.151566026529792
40,1,0.0471238898038469,-0.0372671452157372,0.173012563100267
40,1,0.0502654824574367,-0.0390705055737887,0.195667272337475
40,1,0.0534070751110265,-0.0407927162166791,0.21947926984313
40,1,0.0565486677646163,-0.0424347180461551,0.244395409001839
40,1,0.0596902604182061,-0.0439974995771875,0.270360454406672
40,1,0.0628318530717959,-0.0454820953706008,0.297317260671526
40,1,0.0659734457253857,-0.0468895844018742,0.3252069558497
40,1,0.0691150383789755,-0.0482210883700405,0.353969128666048
40,1,0.0722566310325652,-0.0494777699507279,0.383542018762278
40,1,0.075398223686155,-0.0506608309974993,0.413862709151676
40,1,0.0785398163397448,-0.0517715106957348,0.444867320080407
40,1,0.0816814089933346,-0.0528110836733855,0.476491203497771
40,1,0.0848230016469244,-0.0537808580729878,0.508669137347174
40,1,0.0879645943005142,-0.0546821735893853,0.54133551890288
40,1,0.091106186954104,-0.0555163994776443,0.57442455639492
40,1,0.0942477796076938,-0.0562849325356684,0.607870458185454
40,1,0.0973893722612836,-0.0569891950660389,0.641607618784322
40,1,0.100530964914873,-0.0576306328215971,0.67557080101932
40,1,0.103672557568463,-0.0582107129392735,0.709695313707522
40,1,0.106814150222053,-0.0587309218666449,0.743917184207557
40,1,0.109955742875643,-0.0591927632856492,0.778173325269015
40,1,0.113097335529233,-0.0595977560378471,0.812401695633517
40,1,0.116238928182822,-0.0599474320555431,0.846541453882544
40,1,0.119380520836412,-0.060243334303007,0.8805331050692
40,1,0.122522113490002,-0.0604870147319483,0.914318639714747
40,1,0.125663706143592,-0.0606800322552935,0.947841664795456
40,1,0.128805298797182,-0.0608239507432081,0.98104752639085
40,1,0.131946891450771,-0.0609203370451851,1.01388342371058
40,1,0.135088484104361,-0.0609707590418951,1.04629851426345
40,1,0.138230076757951,-0.0609767837303474,1.07824400997857
40,1,0.141371669411541,-0.0609399753457771,1.10967326413453
40,1,0.14451326206513,-0.0608618935235102,1.14054184899811
40,1,0.14765485471872,-0.0607440915039034,1.1708076241186
