eta,theta,p_sb,p_c,p_db_h,p_db_v,delta
0.8,0.0,0.0,0.03756419578497776,0.9624358042150222,0.0,0.0
0.8,0.006295776860901389,1.5449743882805493e-05,0.03756433191814908,0.9624202182434647,9.450348007264321e-11,0.0
0.8,0.012591553721802777,6.179719787578732e-05,0.03756474030199947,0.9623734609880824,1.512042152997689e-09,0.0
0.8,0.018887330582704167,0.0001390370289414601,0.03756542088953768,0.9622955344269218,7.654599243705904e-09,0.0
0.8,0.025183107443605555,0.000247160348446889,0.03756637360244278,0.9621864418573016,2.4191808475393292e-08,0.0
0.8,0.031478884304506946,0.0003861547118085111,0.03756759833106116,0.9620461878966838,5.9060446331672636e-08,0.0
0.8,0.037774661165408334,0.000556004117995906,0.037569094934402046,0.9618747784838814,1.224637207030894e-07,0.0
0.8,0.04407043802630972,0.0007566890088955357,0.03757086324013197,0.9616722208806173,2.2687035539782349e-07,0.0
0.8,0.05036621488721111,0.0009881862685357644,0.03757290304456791,0.9614385236734266,3.8701346984822446e-07,0.0
0.8,0.0566619917481125,0.0012504692221747638,0.037575214112669265,0.9611736967759028,6.198892531969996e-07,0.0
0.8,0.06295776860901389,0.0015435076352531946,0.0375777961780286,0.9608777514312864,9.44755431799457e-07,0.0
0.8,0.06925354546991527,0.0018672677122138508,0.0375806489428613,0.9605507002153959,1.3831295290312773e-06,0.0
0.8,0.07554932233081667,0.0022217120951907423,0.03758377207799393,0.960192557039899,1.958786916144942e-06,0.0
0.8,0.08184509919171805,0.0026067998625703796,0.037587165222851666,0.9598033371559249,2.6977586527722143e-06,0.0
0.8,0.08814087605261944,0.0030224865274283237,0.03759082798544444,0.9593830571580119,3.6283291155251176e-06,0.0
0.8,0.09443665291352082,0.003468724035844332,0.037594759942352125,0.9589317349883903,4.781033413003603e-06,0.0
0.8,0.10073242977442222,0.003945460765099755,0.03759896063870863,0.9584493899416061,6.188654585374884e-06,0.0
0.8,0.10702820663532361,0.004452641521761091,0.03760342958818505,0.9579360426694671,7.886220586546954e-06,0.0
0.8,0.113323983496225,0.004990207539653925,0.037608166272971796,0.9573917151863275,9.911001046817595e-06,0.0
0.8,0.11961976035712639,0.005558096477731744,0.03761317014375979,0.9568164308746945,1.2302503813739907e-05,0.0
0.8,0.12591553721802778,0.006156242417844424,0.03761844061972084,0.9562102144911657,1.5102471268806447e-05,0.0
0.8,0.13221131407892917,0.006784575862411448,0.03762397708848713,0.9555730921726838,1.8354876417416366e-05,0.0
0.8,0.13850709093983055,0.00744302373200526,0.03762977890612991,0.9549050914431154,2.2105918749453448e-05,0.0
0.8,0.14480286780073193,0.008131509362850347,0.03763584539713746,0.9542062412201444,2.6404019867668396e-05,0.0
0.8,0.15109864466163334,0.008849952504244023,0.0376421758543924,0.9534765718224826,3.129981888092483e-05,0.0
0.8,0.15739442152253472,0.009598269315905109,0.03764876953914828,0.9527161149773872,3.6846167559237114e-05,0.0
0.8,0.1636901983834361,0.010376372365257052,0.03765562568100566,0.9519249038284897,4.3098125247398166e-05,0.0
0.8,0.1699859752443375,0.011184170624652203,0.03766274347788767,0.9511029729439261,5.011295353386683e-05,0.0
0.8,0.1762817521052389,0.012021569468544352,0.03767012209601508,0.9502503583247689,5.795011067145775e-05,0.0
0.8,0.18257752896614027,0.012888470670616917,0.03767776066988097,0.9493670974137561,6.667124574625383e-05,0.0
0.8,0.18887330582704165,0.013784772400874307,0.03768565830222514,0.9484532291043092,7.634019259103638e-05,0.0
0.8,0.19516908268794306,0.01471036922270446,0.037693814064008235,0.9475087937498478,8.70229634394112e-05,0.0
0.8,0.20146485954884444,0.015665152089920656,0.03770222699438562,0.9465338331733772,9.878774231668712e-05,0.0
0.8,0.20776063640974582,0.0166490083437912,0.03771089610068129,0.9455283906773642,0.00011170487816345217,0.0
0.8,0.21405641327064723,0.017661821710065483,0.03771982035836157,0.9444925110538851,0.00012584687768767537,0.0
0.8,0.2203521901315486,0.018703472296005646,0.03772899871100905,0.9434262405950442,0.00014128839794105407,0.0
0.8,0.22664796699245,0.019773836587433043,0.037738430070296515,0.9423296271036553,0.00015810623861521876,0.0
0.8,0.23294374385335137,0.020872787445798967,0.03774811331596112,0.9412027199041865,0.0001763793340533003,0.0
0.8,0.23923952071425278,0.0220001941052896,0.03775804729577891,0.9400455698539589,0.00019618874497226343,0.0
0.8,0.24553529757515416,0.02315592216997516,0.03776823082553971,0.9388582293545936,0.00021761764989131129,0.0
0.8,0.25183107443605557,0.024339833611013623,0.03777866268902245,0.9376407523637024,0.0002407513362615685,0.0
0.8,0.25812685129695695,0.025551786763919622,0.03778934163797111,0.9363931944068171,0.0002656771912921562,0.0
0.8,0.26442262815785833,0.02679163632590947,0.037800266392071354,0.9351156125895513,0.0002924846924676853,0.0
0.8,0.2707184050187597,0.028059233353333164,0.03781143563892785,0.9338080656099866,0.00032126539775210425,0.0
0.8,0.2770141818796611,0.029354425259205234,0.037822848034042615,0.9324706137712782,0.0003521129354737556,0.0
0.8,0.2833099587405625,0.030677055810845424,0.037834502200794054,0.9311033189944742,0.00038512299388641783,0.0
0.8,0.28960573560146385,0.03202696512764174,0.03784639673041744,0.9297062448315396,0.00042039331040103,0.0
0.8,0.2959015124623653,0.033403989678947484,0.03785853018198625,0.9282794564785836,0.00045802366048272564,0.0
0.8,0.30219728932326667,0.034807962282124884,0.037870901082394985,0.9268230207892724,0.0004981158462077343,0.0
0.8,0.30849306618416805,0.036238712100747986,0.03788350792634333,0.9253370062884338,0.0005407736844746485,0.0
