,Measurement Basis,TT,TR,RT,RR
0,H,6250,110907,7349,91336
1,D,84145,35765,89144,34792
2,R,69044,50236,92922,31912
3,V,112830,6437,131248,4550
4,A,35199,83544,50320,63196
5,L,50091,69339,48387,64835
