data_dir,C,SB,DB_V,DB_H,N
2025-06-18--17h-31m-14s,63.0,27.0,4.0,26.0,120.0
2025-06-18--17h-31m-14s,63.0,23.0,7.0,27.0,120.0
2025-06-18--17h-31m-14s,69.0,23.0,6.0,22.0,120.0
2025-06-18--17h-31m-14s,51.0,37.0,8.0,24.0,120.0
2025-06-18--17h-31m-14s,62.0,24.0,11.0,23.0,120.0
2025-06-18--17h-31m-14s,66.0,26.0,4.0,24.0,120.0
2025-06-18--17h-31m-14s,60.0,30.0,5.0,25.0,120.0
2025-06-18--17h-31m-14s,55.0,34.0,10.0,21.0,120.0
2025-06-18--17h-31m-14s,66.0,22.0,12.0,20.0,120.0
2025-06-18--17h-31m-14s,60.0,33.0,5.0,22.0,120.0
2025-06-18--17h-31m-14s,52.0,34.0,8.0,26.0,120.0
2025-06-18--17h-31m-14s,56.0,24.0,13.0,27.0,120.0
2025-06-18--17h-31m-14s,57.0,29.0,11.0,23.0,120.0
2025-06-18--17h-31m-14s,67.0,24.0,10.0,19.0,120.0
2025-06-18--17h-31m-14s,56.0,32.0,8.0,24.0,120.0
2025-06-18--17h-31m-14s,62.0,36.0,2.0,20.0,120.0
2025-06-18--17h-31m-14s,61.0,27.0,6.0,26.0,120.0
2025-06-18--17h-31m-14s,58.0,26.0,13.0,23.0,120.0
2025-06-18--17h-31m-14s,59.0,17.0,11.0,33.0,120.0
2025-06-18--17h-31m-14s,65.0,24.0,10.0,21.0,120.0
2025-06-18--17h-31m-14s,62.0,35.0,4.0,19.0,120.0
2025-06-18--17h-31m-14s,55.0,31.0,6.0,28.0,120.0
2025-06-18--17h-31m-14s,52.0,30.0,10.0,28.0,120.0
2025-06-18--17h-31m-14s,61.0,27.0,2.0,30.0,120.0
2025-06-18--17h-31m-14s,59.0,30.0,6.0,25.0,120.0
2025-06-18--17h-31m-14s,54.0,27.0,8.0,31.0,120.0
2025-06-18--17h-31m-14s,65.0,23.0,9.0,23.0,120.0
2025-06-18--17h-31m-14s,62.0,21.0,11.0,26.0,120.0
2025-06-18--17h-31m-14s,67.0,21.0,5.0,27.0,120.0
2025-06-18--17h-31m-14s,61.0,33.0,5.0,21.0,120.0
2025-06-18--17h-31m-14s,60.0,29.0,7.0,24.0,120.0
2025-06-18--17h-31m-14s,59.0,28.0,7.0,26.0,120.0
2025-06-18--17h-31m-14s,67.0,29.0,7.0,17.0,120.0
2025-06-18--17h-31m-14s,67.0,26.0,4.0,23.0,120.0
2025-06-18--17h-31m-14s,67.0,20.0,7.0,26.0,120.0
2025-06-18--17h-31m-14s,56.0,35.0,5.0,24.0,120.0
2025-06-18--17h-31m-14s,58.0,27.0,10.0,25.0,120.0
2025-06-18--17h-31m-14s,61.0,27.0,8.0,24.0,120.0
2025-06-18--17h-31m-14s,59.0,30.0,5.0,26.0,120.0
2025-06-18--17h-31m-14s,63.0,24.0,6.0,27.0,120.0
2025-06-18--17h-31m-14s,61.0,22.0,8.0,29.0,120.0
2025-06-18--17h-31m-14s,65.0,19.0,13.0,23.0,120.0
2025-06-18--17h-31m-14s,58.0,24.0,9.0,29.0,120.0
2025-06-18--17h-31m-14s,53.0,29.0,4.0,34.0,120.0
2025-06-18--17h-31m-14s,64.0,23.0,3.0,30.0,120.0
2025-06-18--17h-31m-14s,64.0,27.0,7.0,22.0,120.0
2025-06-18--17h-31m-14s,58.0,25.0,6.0,31.0,120.0
2025-06-18--17h-31m-14s,64.0,25.0,4.0,27.0,120.0
2025-06-18--17h-31m-14s,59.0,24.0,5.0,32.0,120.0
2025-06-18--17h-31m-14s,59.0,32.0,4.0,25.0,120.0
2025-06-18--17h-31m-14s,67.0,23.0,4.0,26.0,120.0
2025-06-18--17h-31m-14s,52.0,27.0,9.0,32.0,120.0
2025-06-18--17h-31m-14s,60.0,27.0,10.0,23.0,120.0
2025-06-18--17h-31m-14s,56.0,33.0,5.0,26.0,120.0
2025-06-18--17h-31m-14s,59.0,32.0,12.0,17.0,120.0
2025-06-18--17h-31m-14s,60.0,33.0,9.0,18.0,120.0
2025-06-18--17h-31m-14s,55.0,28.0,11.0,26.0,120.0
2025-06-18--17h-31m-14s,61.0,29.0,3.0,27.0,120.0
2025-06-18--17h-31m-14s,56.0,31.0,5.0,28.0,120.0
2025-06-18--17h-31m-14s,59.0,26.0,9.0,26.0,120.0
2025-06-18--17h-31m-14s,56.0,34.0,6.0,24.0,120.0
2025-06-18--17h-31m-14s,65.0,31.0,5.0,19.0,120.0
2025-06-18--17h-31m-14s,64.0,24.0,12.0,20.0,120.0
2025-06-18--17h-31m-14s,72.0,24.0,4.0,20.0,120.0
2025-06-18--17h-31m-14s,63.0,23.0,5.0,29.0,120.0
2025-06-18--17h-31m-14s,54.0,29.0,15.0,22.0,120.0
2025-06-18--17h-31m-14s,61.0,25.0,8.0,26.0,120.0
2025-06-18--17h-31m-14s,62.0,26.0,6.0,26.0,120.0
2025-06-18--17h-31m-14s,65.0,22.0,11.0,22.0,120.0
2025-06-18--17h-31m-14s,59.0,33.0,5.0,23.0,120.0
2025-06-18--17h-31m-14s,62.0,26.0,9.0,23.0,120.0
2025-06-18--17h-31m-14s,56.0,25.0,8.0,31.0,120.0
2025-06-18--17h-31m-14s,60.0,25.0,7.0,28.0,120.0
2025-06-18--17h-31m-14s,62.0,28.0,6.0,24.0,120.0
2025-06-18--17h-31m-14s,56.0,25.0,11.0,28.0,120.0
2025-06-18--17h-31m-14s,62.0,27.0,5.0,26.0,120.0
2025-06-18--17h-31m-14s,55.0,29.0,9.0,27.0,120.0
