detector_a_name,detector_b_name,tomography_setting_t,tomography_setting_r,repetition,coincidences,timestamp
9,12,H,H,0,1,2025-05-30--16h-28m-24s-864992
9,11,H,H,0,0,2025-05-30--16h-28m-24s-864992
9,10,H,H,0,0,2025-05-30--16h-28m-24s-864992
11,12,H,H,0,0,2025-05-30--16h-28m-24s-864992
10,12,H,H,0,0,2025-05-30--16h-28m-24s-864992
10,11,H,H,0,0,2025-05-30--16h-28m-24s-864992
1,9,H,H,0,0,2025-05-30--16h-28m-24s-864992
1,12,H,H,0,0,2025-05-30--16h-28m-24s-864992
1,11,H,H,0,0,2025-05-30--16h-28m-24s-864992
1,10,H,H,0,0,2025-05-30--16h-28m-24s-864992
1,4,H,H,0,0,2025-05-30--16h-28m-24s-864992
1,7,H,H,0,0,2025-05-30--16h-28m-24s-864992
1,2,H,H,0,0,2025-05-30--16h-28m-24s-864992
4,9,H,H,0,0,2025-05-30--16h-28m-24s-864992
4,12,H,H,0,0,2025-05-30--16h-28m-24s-864992
4,11,H,H,0,0,2025-05-30--16h-28m-24s-864992
4,10,H,H,0,0,2025-05-30--16h-28m-24s-864992
4,7,H,H,0,0,2025-05-30--16h-28m-24s-864992
7,9,H,H,0,0,2025-05-30--16h-28m-24s-864992
7,12,H,H,0,0,2025-05-30--16h-28m-24s-864992
7,11,H,H,0,0,2025-05-30--16h-28m-24s-864992
7,10,H,H,0,0,2025-05-30--16h-28m-24s-864992
2,9,H,H,0,0,2025-05-30--16h-28m-24s-864992
2,12,H,H,0,0,2025-05-30--16h-28m-24s-864992
2,11,H,H,0,0,2025-05-30--16h-28m-24s-864992
2,10,H,H,0,0,2025-05-30--16h-28m-24s-864992
2,4,H,H,0,0,2025-05-30--16h-28m-24s-864992
2,7,H,H,0,0,2025-05-30--16h-28m-24s-864992
9,12,H,H,1,0,2025-05-30--16h-28m-24s-881535
9,11,H,H,1,0,2025-05-30--16h-28m-24s-881535
9,10,H,H,1,0,2025-05-30--16h-28m-24s-881535
11,12,H,H,1,0,2025-05-30--16h-28m-24s-881535
10,12,H,H,1,0,2025-05-30--16h-28m-24s-881535
10,11,H,H,1,0,2025-05-30--16h-28m-24s-881535
1,9,H,H,1,0,2025-05-30--16h-28m-24s-881535
1,12,H,H,1,0,2025-05-30--16h-28m-24s-881535
1,11,H,H,1,0,2025-05-30--16h-28m-24s-881535
1,10,H,H,1,0,2025-05-30--16h-28m-24s-881535
1,4,H,H,1,0,2025-05-30--16h-28m-24s-881535
1,7,H,H,1,0,2025-05-30--16h-28m-24s-881535
1,2,H,H,1,0,2025-05-30--16h-28m-24s-881535
4,9,H,H,1,0,2025-05-30--16h-28m-24s-881535
4,12,H,H,1,0,2025-05-30--16h-28m-24s-881535
4,11,H,H,1,0,2025-05-30--16h-28m-24s-881535
4,10,H,H,1,0,2025-05-30--16h-28m-24s-881535
4,7,H,H,1,0,2025-05-30--16h-28m-24s-881535
7,9,H,H,1,0,2025-05-30--16h-28m-24s-881535
7,12,H,H,1,0,2025-05-30--16h-28m-24s-881535
7,11,H,H,1,0,2025-05-30--16h-28m-24s-881535
7,10,H,H,1,0,2025-05-30--16h-28m-24s-881535
2,9,H,H,1,0,2025-05-30--16h-28m-24s-881535
2,12,H,H,1,0,2025-05-30--16h-28m-24s-881535
2,11,H,H,1,0,2025-05-30--16h-28m-24s-881535
2,10,H,H,1,0,2025-05-30--16h-28m-24s-881535
2,4,H,H,1,0,2025-05-30--16h-28m-24s-881535
2,7,H,H,1,0,2025-05-30--16h-28m-24s-881535
9,12,H,H,2,0,2025-05-30--16h-28m-24s-891093
9,11,H,H,2,0,2025-05-30--16h-28m-24s-891093
9,10,H,H,2,0,2025-05-30--16h-28m-24s-891093
11,12,H,H,2,0,2025-05-30--16h-28m-24s-891093
10,12,H,H,2,0,2025-05-30--16h-28m-24s-891093
10,11,H,H,2,0,2025-05-30--16h-28m-24s-891093
1,9,H,H,2,0,2025-05-30--16h-28m-24s-891093
1,12,H,H,2,0,2025-05-30--16h-28m-24s-891093
1,11,H,H,2,0,2025-05-30--16h-28m-24s-891093
1,10,H,H,2,0,2025-05-30--16h-28m-24s-891093
1,4,H,H,2,1,2025-05-30--16h-28m-24s-891093
1,7,H,H,2,0,2025-05-30--16h-28m-24s-891093
1,2,H,H,2,0,2025-05-30--16h-28m-24s-891093
4,9,H,H,2,0,2025-05-30--16h-28m-24s-891093
4,12,H,H,2,0,2025-05-30--16h-28m-24s-891093
4,11,H,H,2,0,2025-05-30--16h-28m-24s-891093
4,10,H,H,2,0,2025-05-30--16h-28m-24s-891093
4,7,H,H,2,0,2025-05-30--16h-28m-24s-891093
7,9,H,H,2,0,2025-05-30--16h-28m-24s-891093
7,12,H,H,2,0,2025-05-30--16h-28m-24s-891093
7,11,H,H,2,0,2025-05-30--16h-28m-24s-891093
7,10,H,H,2,0,2025-05-30--16h-28m-24s-891093
2,9,H,H,2,0,2025-05-30--16h-28m-24s-891093
2,12,H,H,2,0,2025-05-30--16h-28m-24s-891093
2,11,H,H,2,0,2025-05-30--16h-28m-24s-891093
2,10,H,H,2,0,2025-05-30--16h-28m-24s-891093
2,4,H,H,2,0,2025-05-30--16h-28m-24s-891093
