Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,32044,32351,31226,33953,63270,66304
1,D,1176,61682,8142,57745,9318,119427
2,R,26483,38257,12144,53593,38627,91850
3,V,34034,30593,31558,33886,65592,64479
4,A,65216,1187,57030,7936,122246,9123
5,L,40317,25082,53163,12179,93480,37261
