data_dir,C',SB,VV,HH,N
2025-06-19--18h-27m-02s,2.0,100.0,48.0,50.0,200.0
2025-06-19--18h-27m-02s,2.0,93.0,51.0,54.0,200.0
2025-06-19--18h-27m-02s,2.0,91.0,50.0,57.0,200.0
2025-06-19--18h-27m-02s,1.0,99.0,49.0,51.0,200.0
2025-06-19--18h-27m-02s,1.0,85.0,60.0,54.0,200.0
2025-06-19--18h-27m-02s,3.0,86.0,47.0,64.0,200.0
2025-06-19--18h-27m-02s,4.0,104.0,42.0,50.0,200.0
2025-06-19--18h-27m-02s,1.0,88.0,52.0,59.0,200.0
2025-06-19--18h-27m-02s,1.0,94.0,48.0,57.0,200.0
2025-06-19--18h-27m-02s,1.0,101.0,46.0,52.0,200.0
2025-06-19--18h-27m-02s,1.0,95.0,49.0,55.0,200.0
2025-06-19--18h-27m-02s,0.0,116.0,40.0,44.0,200.0
2025-06-19--18h-27m-02s,1.0,97.0,58.0,44.0,200.0
2025-06-19--18h-27m-02s,0.0,106.0,43.0,51.0,200.0
2025-06-19--18h-27m-02s,3.0,102.0,48.0,47.0,200.0
2025-06-19--18h-27m-02s,2.0,91.0,53.0,54.0,200.0
2025-06-19--18h-27m-02s,2.0,85.0,58.0,55.0,200.0
2025-06-19--18h-27m-02s,4.0,92.0,49.0,55.0,200.0
2025-06-19--18h-27m-02s,2.0,97.0,41.0,60.0,200.0
2025-06-19--18h-27m-02s,3.0,98.0,44.0,55.0,200.0
2025-06-19--18h-27m-02s,2.0,88.0,50.0,60.0,200.0
2025-06-19--18h-27m-02s,2.0,88.0,50.0,60.0,200.0
2025-06-19--18h-27m-02s,3.0,84.0,53.0,60.0,200.0
2025-06-19--18h-27m-02s,2.0,97.0,51.0,50.0,200.0
2025-06-19--18h-27m-02s,3.0,106.0,44.0,47.0,200.0
2025-06-19--18h-27m-02s,0.0,94.0,58.0,48.0,200.0
2025-06-19--18h-27m-02s,7.0,105.0,48.0,40.0,200.0
2025-06-19--18h-27m-02s,0.0,85.0,58.0,57.0,200.0
2025-06-19--18h-27m-02s,2.0,90.0,45.0,63.0,200.0
2025-06-19--18h-27m-02s,2.0,95.0,53.0,50.0,200.0
2025-06-19--18h-27m-02s,4.0,98.0,51.0,47.0,200.0
2025-06-19--18h-27m-02s,2.0,99.0,48.0,51.0,200.0
2025-06-19--18h-27m-02s,0.0,96.0,54.0,50.0,200.0
2025-06-19--18h-27m-02s,2.0,93.0,51.0,54.0,200.0
2025-06-19--18h-27m-02s,2.0,106.0,44.0,48.0,200.0
2025-06-19--18h-27m-02s,2.0,79.0,54.0,65.0,200.0
2025-06-19--18h-27m-02s,1.0,105.0,48.0,46.0,200.0
2025-06-19--18h-27m-02s,2.0,98.0,47.0,53.0,200.0
2025-06-19--18h-27m-02s,3.0,104.0,46.0,47.0,200.0
2025-06-19--18h-27m-02s,1.0,103.0,46.0,50.0,200.0
2025-06-19--18h-27m-02s,0.0,96.0,50.0,54.0,200.0
