,basis,TT,TR,RT,RR
0,HH,0,10,3,20771
1,HD,2,10944,0,9806
2,HR,2,11397,3,9691
3,DH,4,6,11118,10545
4,DD,5864,5554,5286,4879
5,DR,5865,5626,5001,4774
6,RH,4,5,11369,9875
7,RD,5995,5310,5478,4914
8,RR,6133,5331,5050,4555
