Unnamed: 0,basis,TT,TR,RT,RR,T,R
0,HH,44978,40,45,0,45023,40
1,HD,20456,12,24846,13,45302,25
2,HR,21056,15,24805,16,45861,31
3,DH,22387,21223,18,14,22405,21237
4,DD,10197,9838,12141,11792,22338,21630
5,DR,10219,9835,12182,11567,22401,21402
6,RH,22805,21229,19,19,22824,21248
7,RD,10152,9905,12449,11788,22601,21693
8,RR,10183,9716,12196,11438,22379,21154
