,Measurement Basis,TT,TR,RT,RR
0,H,14993,98519,23246,83356
1,D,79537,21771,114869,13442
2,R,33689,77996,70234,49980
3,V,82583,17722,112227,14986
4,A,18100,95558,18934,90731
5,L,65009,39416,64208,53017
