Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,72543,73845,91818,63945,164361,137790
1,D,124353,21208,114471,47059,238824,68267
2,R,122426,23770,169240,4665,291666,28435
3,V,72299,74794,90618,66267,162917,141061
4,A,19444,128026,62500,89184,81944,217210
5,L,22973,125315,7952,131375,30925,256690
