Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,21792,128665,29878,112367,51670,241032
1,D,94920,54624,87457,70218,182377,124842
2,R,120882,26916,152913,16577,273795,43493
3,V,124723,22482,148086,21366,272809,43848
4,A,51742,97926,93311,64452,145053,162378
5,L,26187,124680,30024,116069,56211,240749
