,Measurement Basis,TT,TR,RT,RR
0,H,32464,29150,27176,28471
1,D,37366,25461,20434,35511
2,R,62008,969,55670,1534
3,V,30879,31230,28598,26637
4,A,25921,35388,35753,19521
5,L,871,59542,1646,53651
