Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,32464,29150,27176,28471,59640,57621
1,D,37366,25461,20434,35511,57800,60972
2,R,62008,969,55670,1534,117678,2503
3,V,30879,31230,28598,26637,59477,57867
4,A,25921,35388,35753,19521,61674,54909
5,L,871,59542,1646,53651,2517,113193
