Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,20914,57511,24303,47780,45217,105291
1,D,52354,24273,48428,33544,100782,57817
2,R,65324,8700,87844,3956,153168,12656
3,V,50395,24989,68374,18424,118769,43413
4,A,19812,60707,45020,35015,64832,95722
5,L,7268,74937,6509,63153,13777,138090
