,Measurement Basis,TT,TR,RT,RR
0,H,31965,29574,27156,28331
1,D,36647,25062,20660,35343
2,R,61897,973,55593,1470
3,V,30695,31016,29496,26345
4,A,25857,35348,36692,19475
5,L,851,59733,1620,53696
