Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,32682,28839,27679,28105,60361,56944
1,D,25011,36293,35434,20431,60445,56724
2,R,1074,59035,1454,52944,2528,111979
3,V,30177,31740,30257,25684,60434,57424
4,A,37732,23597,21452,33736,59184,57333
5,L,61863,1200,55280,1182,117143,2382
