,Measurement Basis,TT,TR,RT,RR
0,H,85536,877,84773,1503
1,D,42745,44715,40129,34973
2,R,43090,44630,39596,35898
3,V,532,86239,989,62306
4,A,43530,44457,43453,33452
5,L,43523,45415,42697,34163
