Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,96246,433,134537,1090,230783,1523
1,D,49288,57610,64828,56063,114116,113673
2,R,48482,59124,62695,58127,111177,117251
3,V,252,115803,732,104475,984,220278
4,A,47437,59643,65013,55904,112450,115547
5,L,48650,58321,65060,55197,113710,113518
