angle,singles,coincidences
0.0,11725.0,65
9.0,11859.0,193
18.0,13532.0,1014
27.0,16545.0,2454
36.0,19192.0,3651
45.0,20548.0,4427
54.0,20208.0,4254
63.0,18017.0,3264
72.0,15441.0,1917
81.0,12865.0,732
90.0,11537.0,63
99.0,12139.0,206
108.0,13802.0,1155
117.0,16493.0,2490
126.0,19037.0,3711
135.0,20848.0,4478
144.0,20063.0,4221
153.0,18276.0,3262
162.0,15811.0,1961
171.0,12906.0,710
180.0,11506.0,43
-2.1377182305772493,11423.0,3
-1.1377182305772493,11726.0,77
-0.1377182305772493,11644.0,54
0.8622817694227507,11416.0,24
1.8622817694227507,11405.0,8
2.8622817694227507,11506.0,6
3.8622817694227507,11472.0,6
4.862281769422751,11773.0,25
5.862281769422751,11701.0,48
6.862281769422751,11449.0,90
7.862281769422751,11715.0,142
42.86228176942275,20424.0,4346
44.528948436089415,20720.0,4377
46.195615102756086,20732.0,4405
47.86228176942275,20414.0,4341
49.528948436089415,20519.0,4336
51.195615102756086,20802.0,4317
52.86228176942275,20311.0,4286
