detector_a_name,detector_b_name,estimation_label,tomography_setting_a,tomography_setting_b,repetition,coincidences,timestamp
9,12,DB_H,H,H,0,0,2025-05-28--11h-37m-58s-274541
9,11,SB,H,H,0,0,2025-05-28--11h-37m-58s-274541
9,10,SB,H,H,0,0,2025-05-28--11h-37m-58s-274541
11,12,SB,H,H,0,0,2025-05-28--11h-37m-58s-274541
10,12,SB,H,H,0,0,2025-05-28--11h-37m-58s-274541
10,11,DB_V,H,H,0,0,2025-05-28--11h-37m-58s-274541
1,9,C,H,H,0,0,2025-05-28--11h-37m-58s-274541
1,12,C,H,H,0,0,2025-05-28--11h-37m-58s-274541
1,11,C,H,H,0,0,2025-05-28--11h-37m-58s-274541
1,10,C,H,H,0,0,2025-05-28--11h-37m-58s-274541
1,4,DB_H,H,H,0,1,2025-05-28--11h-37m-58s-274541
1,7,SB,H,H,0,0,2025-05-28--11h-37m-58s-274541
1,2,SB,H,H,0,0,2025-05-28--11h-37m-58s-274541
4,9,C,H,H,0,0,2025-05-28--11h-37m-58s-274541
4,12,C,H,H,0,0,2025-05-28--11h-37m-58s-274541
4,11,C,H,H,0,0,2025-05-28--11h-37m-58s-274541
4,10,C,H,H,0,0,2025-05-28--11h-37m-58s-274541
4,7,SB,H,H,0,0,2025-05-28--11h-37m-58s-274541
7,9,C,H,H,0,0,2025-05-28--11h-37m-58s-274541
7,12,C,H,H,0,0,2025-05-28--11h-37m-58s-274541
7,11,C,H,H,0,0,2025-05-28--11h-37m-58s-274541
7,10,C,H,H,0,0,2025-05-28--11h-37m-58s-274541
2,9,C,H,H,0,0,2025-05-28--11h-37m-58s-274541
2,12,C,H,H,0,0,2025-05-28--11h-37m-58s-274541
2,11,C,H,H,0,0,2025-05-28--11h-37m-58s-274541
2,10,C,H,H,0,0,2025-05-28--11h-37m-58s-274541
2,4,SB,H,H,0,0,2025-05-28--11h-37m-58s-274541
2,7,DB_V,H,H,0,0,2025-05-28--11h-37m-58s-274541
9,12,DB_H,H,H,1,1,2025-05-28--11h-37m-58s-303778
9,11,SB,H,H,1,0,2025-05-28--11h-37m-58s-303778
9,10,SB,H,H,1,0,2025-05-28--11h-37m-58s-303778
11,12,SB,H,H,1,0,2025-05-28--11h-37m-58s-303778
10,12,SB,H,H,1,0,2025-05-28--11h-37m-58s-303778
10,11,DB_V,H,H,1,0,2025-05-28--11h-37m-58s-303778
1,9,C,H,H,1,0,2025-05-28--11h-37m-58s-303778
1,12,C,H,H,1,0,2025-05-28--11h-37m-58s-303778
1,11,C,H,H,1,0,2025-05-28--11h-37m-58s-303778
1,10,C,H,H,1,0,2025-05-28--11h-37m-58s-303778
1,4,DB_H,H,H,1,0,2025-05-28--11h-37m-58s-303778
1,7,SB,H,H,1,0,2025-05-28--11h-37m-58s-303778
1,2,SB,H,H,1,0,2025-05-28--11h-37m-58s-303778
4,9,C,H,H,1,0,2025-05-28--11h-37m-58s-303778
4,12,C,H,H,1,0,2025-05-28--11h-37m-58s-303778
4,11,C,H,H,1,0,2025-05-28--11h-37m-58s-303778
4,10,C,H,H,1,0,2025-05-28--11h-37m-58s-303778
4,7,SB,H,H,1,0,2025-05-28--11h-37m-58s-303778
7,9,C,H,H,1,0,2025-05-28--11h-37m-58s-303778
7,12,C,H,H,1,0,2025-05-28--11h-37m-58s-303778
7,11,C,H,H,1,0,2025-05-28--11h-37m-58s-303778
7,10,C,H,H,1,0,2025-05-28--11h-37m-58s-303778
2,9,C,H,H,1,0,2025-05-28--11h-37m-58s-303778
2,12,C,H,H,1,0,2025-05-28--11h-37m-58s-303778
2,11,C,H,H,1,0,2025-05-28--11h-37m-58s-303778
2,10,C,H,H,1,0,2025-05-28--11h-37m-58s-303778
2,4,SB,H,H,1,0,2025-05-28--11h-37m-58s-303778
2,7,DB_V,H,H,1,0,2025-05-28--11h-37m-58s-303778
9,12,DB_H,H,H,2,0,2025-05-28--11h-37m-58s-323006
9,11,SB,H,H,2,0,2025-05-28--11h-37m-58s-323006
9,10,SB,H,H,2,0,2025-05-28--11h-37m-58s-323006
11,12,SB,H,H,2,0,2025-05-28--11h-37m-58s-323006
10,12,SB,H,H,2,0,2025-05-28--11h-37m-58s-323006
10,11,DB_V,H,H,2,0,2025-05-28--11h-37m-58s-323006
1,9,C,H,H,2,0,2025-05-28--11h-37m-58s-323006
1,12,C,H,H,2,0,2025-05-28--11h-37m-58s-323006
1,11,C,H,H,2,0,2025-05-28--11h-37m-58s-323006
1,10,C,H,H,2,0,2025-05-28--11h-37m-58s-323006
1,4,DB_H,H,H,2,0,2025-05-28--11h-37m-58s-323006
1,7,SB,H,H,2,0,2025-05-28--11h-37m-58s-323006
1,2,SB,H,H,2,0,2025-05-28--11h-37m-58s-323006
4,9,C,H,H,2,0,2025-05-28--11h-37m-58s-323006
4,12,C,H,H,2,0,2025-05-28--11h-37m-58s-323006
4,11,C,H,H,2,0,2025-05-28--11h-37m-58s-323006
4,10,C,H,H,2,0,2025-05-28--11h-37m-58s-323006
