Unnamed: 0,basis,TT,TR,RT,RR,T,R
0,HH,11894,5249,5085,21,16979,5270
1,HD,12906,2378,3744,2870,16650,5248
2,HR,9557,2440,7472,2914,17029,5354
3,DH,14625,2829,2469,2453,17094,5282
4,DD,10570,5036,6598,189,17168,5225
5,DR,8736,3212,8316,1942,17052,5154
6,RH,7391,9234,2510,2396,9901,11630
7,RD,7312,7993,2793,3940,10105,11933
8,RR,5496,6190,4499,5386,9995,11576
