Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,25197,50586,28551,42450,53748,93036
1,D,49611,21584,44648,31971,94259,53555
2,R,63212,6659,84608,2169,147820,8828
3,V,44188,29345,59446,21032,103634,50377
4,A,18386,57909,42605,32701,60991,90610
5,L,5526,73459,3662,63007,9188,136466
