detector_a_name,detector_b_name,estimation_label,repetition,coincidences,timestamp
9,12,DB_H,1,2,2025-05-23--16h-54m-47s-624629
9,11,SB,1,0,2025-05-23--16h-54m-47s-624629
9,10,SB,1,0,2025-05-23--16h-54m-47s-624629
11,12,SB,1,0,2025-05-23--16h-54m-47s-624629
10,12,SB,1,0,2025-05-23--16h-54m-47s-624629
10,11,DB_V,1,0,2025-05-23--16h-54m-47s-624629
1,9,C,1,0,2025-05-23--16h-54m-47s-624629
1,12,C,1,0,2025-05-23--16h-54m-47s-624629
1,11,C,1,0,2025-05-23--16h-54m-47s-624629
1,10,C,1,0,2025-05-23--16h-54m-47s-624629
1,4,DB_H,1,1,2025-05-23--16h-54m-47s-624629
1,7,SB,1,0,2025-05-23--16h-54m-47s-624629
1,2,SB,1,0,2025-05-23--16h-54m-47s-624629
4,9,C,1,0,2025-05-23--16h-54m-47s-624629
4,12,C,1,0,2025-05-23--16h-54m-47s-624629
4,11,C,1,0,2025-05-23--16h-54m-47s-624629
4,10,C,1,0,2025-05-23--16h-54m-47s-624629
4,7,SB,1,0,2025-05-23--16h-54m-47s-624629
7,9,C,1,0,2025-05-23--16h-54m-47s-624629
7,12,C,1,0,2025-05-23--16h-54m-47s-624629
7,11,C,1,0,2025-05-23--16h-54m-47s-624629
7,10,C,1,0,2025-05-23--16h-54m-47s-624629
2,9,C,1,0,2025-05-23--16h-54m-47s-624629
2,12,C,1,0,2025-05-23--16h-54m-47s-624629
2,11,C,1,0,2025-05-23--16h-54m-47s-624629
2,10,C,1,0,2025-05-23--16h-54m-47s-624629
2,4,SB,1,0,2025-05-23--16h-54m-47s-624629
2,7,DB_V,1,0,2025-05-23--16h-54m-47s-624629
9,12,DB_H,2,1,2025-05-23--16h-54m-47s-643555
9,11,SB,2,0,2025-05-23--16h-54m-47s-643555
9,10,SB,2,0,2025-05-23--16h-54m-47s-643555
11,12,SB,2,0,2025-05-23--16h-54m-47s-643555
10,12,SB,2,0,2025-05-23--16h-54m-47s-643555
10,11,DB_V,2,0,2025-05-23--16h-54m-47s-643555
1,9,C,2,0,2025-05-23--16h-54m-47s-643555
1,12,C,2,0,2025-05-23--16h-54m-47s-643555
1,11,C,2,0,2025-05-23--16h-54m-47s-643555
1,10,C,2,0,2025-05-23--16h-54m-47s-643555
1,4,DB_H,2,0,2025-05-23--16h-54m-47s-643555
1,7,SB,2,0,2025-05-23--16h-54m-47s-643555
1,2,SB,2,0,2025-05-23--16h-54m-47s-643555
4,9,C,2,0,2025-05-23--16h-54m-47s-643555
4,12,C,2,0,2025-05-23--16h-54m-47s-643555
4,11,C,2,0,2025-05-23--16h-54m-47s-643555
4,10,C,2,0,2025-05-23--16h-54m-47s-643555
4,7,SB,2,0,2025-05-23--16h-54m-47s-643555
7,9,C,2,0,2025-05-23--16h-54m-47s-643555
7,12,C,2,0,2025-05-23--16h-54m-47s-643555
7,11,C,2,0,2025-05-23--16h-54m-47s-643555
7,10,C,2,0,2025-05-23--16h-54m-47s-643555
2,9,C,2,0,2025-05-23--16h-54m-47s-643555
2,12,C,2,0,2025-05-23--16h-54m-47s-643555
2,11,C,2,0,2025-05-23--16h-54m-47s-643555
2,10,C,2,0,2025-05-23--16h-54m-47s-643555
2,4,SB,2,0,2025-05-23--16h-54m-47s-643555
2,7,DB_V,2,0,2025-05-23--16h-54m-47s-643555
9,12,DB_H,4,1,2025-05-23--16h-54m-47s-681993
9,11,SB,4,0,2025-05-23--16h-54m-47s-681993
9,10,SB,4,1,2025-05-23--16h-54m-47s-681993
11,12,SB,4,0,2025-05-23--16h-54m-47s-681993
10,12,SB,4,0,2025-05-23--16h-54m-47s-681993
10,11,DB_V,4,0,2025-05-23--16h-54m-47s-681993
1,9,C,4,0,2025-05-23--16h-54m-47s-681993
1,12,C,4,1,2025-05-23--16h-54m-47s-681993
1,11,C,4,0,2025-05-23--16h-54m-47s-681993
1,10,C,4,0,2025-05-23--16h-54m-47s-681993
1,4,DB_H,4,1,2025-05-23--16h-54m-47s-681993
1,7,SB,4,0,2025-05-23--16h-54m-47s-681993
1,2,SB,4,0,2025-05-23--16h-54m-47s-681993
4,9,C,4,0,2025-05-23--16h-54m-47s-681993
4,12,C,4,0,2025-05-23--16h-54m-47s-681993
4,11,C,4,0,2025-05-23--16h-54m-47s-681993
4,10,C,4,0,2025-05-23--16h-54m-47s-681993
4,7,SB,4,0,2025-05-23--16h-54m-47s-681993
7,9,C,4,0,2025-05-23--16h-54m-47s-681993
7,12,C,4,0,2025-05-23--16h-54m-47s-681993
7,11,C,4,0,2025-05-23--16h-54m-47s-681993
7,10,C,4,0,2025-05-23--16h-54m-47s-681993
2,9,C,4,0,2025-05-23--16h-54m-47s-681993
2,12,C,4,0,2025-05-23--16h-54m-47s-681993
2,11,C,4,0,2025-05-23--16h-54m-47s-681993
2,10,C,4,0,2025-05-23--16h-54m-47s-681993
2,4,SB,4,0,2025-05-23--16h-54m-47s-681993
2,7,DB_V,4,0,2025-05-23--16h-54m-47s-681993
9,12,DB_H,5,1,2025-05-23--16h-54m-47s-700569
9,11,SB,5,0,2025-05-23--16h-54m-47s-700569
9,10,SB,5,0,2025-05-23--16h-54m-47s-700569
11,12,SB,5,0,2025-05-23--16h-54m-47s-700569
10,12,SB,5,0,2025-05-23--16h-54m-47s-700569
10,11,DB_V,5,0,2025-05-23--16h-54m-47s-700569
1,9,C,5,0,2025-05-23--16h-54m-47s-700569
1,12,C,5,0,2025-05-23--16h-54m-47s-700569
1,11,C,5,0,2025-05-23--16h-54m-47s-700569
1,10,C,5,0,2025-05-23--16h-54m-47s-700569
1,4,DB_H,5,1,2025-05-23--16h-54m-47s-700569
1,7,SB,5,0,2025-05-23--16h-54m-47s-700569
1,2,SB,5,0,2025-05-23--16h-54m-47s-700569
4,9,C,5,0,2025-05-23--16h-54m-47s-700569
4,12,C,5,0,2025-05-23--16h-54m-47s-700569
4,11,C,5,0,2025-05-23--16h-54m-47s-700569
4,10,C,5,0,2025-05-23--16h-54m-47s-700569
4,7,SB,5,0,2025-05-23--16h-54m-47s-700569
7,9,C,5,0,2025-05-23--16h-54m-47s-700569
7,12,C,5,0,2025-05-23--16h-54m-47s-700569
7,11,C,5,0,2025-05-23--16h-54m-47s-700569
7,10,C,5,0,2025-05-23--16h-54m-47s-700569
2,9,C,5,0,2025-05-23--16h-54m-47s-700569
2,12,C,5,0,2025-05-23--16h-54m-47s-700569
2,11,C,5,0,2025-05-23--16h-54m-47s-700569
2,10,C,5,0,2025-05-23--16h-54m-47s-700569
2,4,SB,5,0,2025-05-23--16h-54m-47s-700569
2,7,DB_V,5,0,2025-05-23--16h-54m-47s-700569
9,12,DB_H,6,1,2025-05-23--16h-54m-47s-719489
9,11,SB,6,0,2025-05-23--16h-54m-47s-719489
9,10,SB,6,0,2025-05-23--16h-54m-47s-719489
11,12,SB,6,0,2025-05-23--16h-54m-47s-719489
10,12,SB,6,0,2025-05-23--16h-54m-47s-719489
10,11,DB_V,6,0,2025-05-23--16h-54m-47s-719489
1,9,C,6,0,2025-05-23--16h-54m-47s-719489
1,12,C,6,0,2025-05-23--16h-54m-47s-719489
1,11,C,6,0,2025-05-23--16h-54m-47s-719489
1,10,C,6,0,2025-05-23--16h-54m-47s-719489
1,4,DB_H,6,0,2025-05-23--16h-54m-47s-719489
1,7,SB,6,0,2025-05-23--16h-54m-47s-719489
1,2,SB,6,0,2025-05-23--16h-54m-47s-719489
4,9,C,6,0,2025-05-23--16h-54m-47s-719489
4,12,C,6,0,2025-05-23--16h-54m-47s-719489
4,11,C,6,0,2025-05-23--16h-54m-47s-719489
4,10,C,6,0,2025-05-23--16h-54m-47s-719489
4,7,SB,6,0,2025-05-23--16h-54m-47s-719489
7,9,C,6,0,2025-05-23--16h-54m-47s-719489
7,12,C,6,0,2025-05-23--16h-54m-47s-719489
7,11,C,6,0,2025-05-23--16h-54m-47s-719489
7,10,C,6,0,2025-05-23--16h-54m-47s-719489
2,9,C,6,0,2025-05-23--16h-54m-47s-719489
2,12,C,6,0,2025-05-23--16h-54m-47s-719489
2,11,C,6,0,2025-05-23--16h-54m-47s-719489
2,10,C,6,0,2025-05-23--16h-54m-47s-719489
2,4,SB,6,0,2025-05-23--16h-54m-47s-719489
2,7,DB_V,6,0,2025-05-23--16h-54m-47s-719489
9,12,DB_H,7,1,2025-05-23--16h-54m-47s-737871
9,11,SB,7,0,2025-05-23--16h-54m-47s-737871
9,10,SB,7,0,2025-05-23--16h-54m-47s-737871
11,12,SB,7,0,2025-05-23--16h-54m-47s-737871
10,12,SB,7,0,2025-05-23--16h-54m-47s-737871
10,11,DB_V,7,0,2025-05-23--16h-54m-47s-737871
1,9,C,7,0,2025-05-23--16h-54m-47s-737871
1,12,C,7,0,2025-05-23--16h-54m-47s-737871
1,11,C,7,0,2025-05-23--16h-54m-47s-737871
1,10,C,7,0,2025-05-23--16h-54m-47s-737871
1,4,DB_H,7,0,2025-05-23--16h-54m-47s-737871
1,7,SB,7,0,2025-05-23--16h-54m-47s-737871
1,2,SB,7,0,2025-05-23--16h-54m-47s-737871
4,9,C,7,0,2025-05-23--16h-54m-47s-737871
4,12,C,7,0,2025-05-23--16h-54m-47s-737871
4,11,C,7,0,2025-05-23--16h-54m-47s-737871
4,10,C,7,0,2025-05-23--16h-54m-47s-737871
4,7,SB,7,0,2025-05-23--16h-54m-47s-737871
7,9,C,7,0,2025-05-23--16h-54m-47s-737871
7,12,C,7,0,2025-05-23--16h-54m-47s-737871
7,11,C,7,0,2025-05-23--16h-54m-47s-737871
7,10,C,7,0,2025-05-23--16h-54m-47s-737871
2,9,C,7,0,2025-05-23--16h-54m-47s-737871
2,12,C,7,0,2025-05-23--16h-54m-47s-737871
2,11,C,7,0,2025-05-23--16h-54m-47s-737871
2,10,C,7,0,2025-05-23--16h-54m-47s-737871
2,4,SB,7,0,2025-05-23--16h-54m-47s-737871
2,7,DB_V,7,0,2025-05-23--16h-54m-47s-737871
9,12,DB_H,8,0,2025-05-23--16h-54m-47s-756623
9,11,SB,8,0,2025-05-23--16h-54m-47s-756623
9,10,SB,8,0,2025-05-23--16h-54m-47s-756623
11,12,SB,8,0,2025-05-23--16h-54m-47s-756623
10,12,SB,8,0,2025-05-23--16h-54m-47s-756623
10,11,DB_V,8,0,2025-05-23--16h-54m-47s-756623
1,9,C,8,0,2025-05-23--16h-54m-47s-756623
1,12,C,8,0,2025-05-23--16h-54m-47s-756623
1,11,C,8,0,2025-05-23--16h-54m-47s-756623
1,10,C,8,0,2025-05-23--16h-54m-47s-756623
1,4,DB_H,8,1,2025-05-23--16h-54m-47s-756623
1,7,SB,8,0,2025-05-23--16h-54m-47s-756623
1,2,SB,8,0,2025-05-23--16h-54m-47s-756623
4,9,C,8,0,2025-05-23--16h-54m-47s-756623
4,12,C,8,0,2025-05-23--16h-54m-47s-756623
4,11,C,8,0,2025-05-23--16h-54m-47s-756623
4,10,C,8,0,2025-05-23--16h-54m-47s-756623
4,7,SB,8,0,2025-05-23--16h-54m-47s-756623
7,9,C,8,0,2025-05-23--16h-54m-47s-756623
7,12,C,8,0,2025-05-23--16h-54m-47s-756623
7,11,C,8,0,2025-05-23--16h-54m-47s-756623
7,10,C,8,0,2025-05-23--16h-54m-47s-756623
2,9,C,8,0,2025-05-23--16h-54m-47s-756623
2,12,C,8,0,2025-05-23--16h-54m-47s-756623
2,11,C,8,0,2025-05-23--16h-54m-47s-756623
2,10,C,8,0,2025-05-23--16h-54m-47s-756623
2,4,SB,8,0,2025-05-23--16h-54m-47s-756623
2,7,DB_V,8,0,2025-05-23--16h-54m-47s-756623
9,12,DB_H,9,1,2025-05-23--16h-54m-47s-775118
9,11,SB,9,1,2025-05-23--16h-54m-47s-775118
