,Measurement Basis,TT,TR,RT,RR
0,H,266,116613,734,100866
1,D,50606,57436,70825,48473
2,R,50276,58585,71922,48012
3,V,98414,468,130918,1061
4,A,47561,60063,63399,53138
5,L,48463,59397,64410,52660
